time,all_num_凯莱英,all_dic_score,凯莱英舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-04-19,35,15.00,0.53,25,25.00,10,-10.00
2022-04-20,92,58.00,0.71,75,75.00,17,-17.00
2022-04-21,102,74.00,0.85,88,88.00,14,-14.00
2022-04-22,47,33.00,0.87,40,40.00,7,-7.00
2022-04-23,7,1.00,0.38,4,4.00,3,-3.00
2022-04-24,13,11.00,0.90,12,12.00,1,-1.00
2022-04-25,15,11.00,0.79,13,13.00,2,-2.00
2022-04-26,60,26.00,0.60,43,43.00,17,-17.00
2022-04-27,73,47.00,0.71,60,60.00,13,-13.00
2022-04-28,108,54.00,0.60,81,81.00,27,-27.00
2022-04-29,34,18.00,0.62,26,26.00,8,-8.00
2022-04-30,5,1.00,0.28,3,3.00,2,-2.00
2022-05-01,3,3.00,1.00,3,3.00,0,0.00
2022-05-02,3,3.00,1.00,3,3.00,0,0.00
2022-05-03,1,1.00,1.00,1,1.00,0,0.00
2022-05-04,5,5.00,1.00,5,5.00,0,0.00
2022-05-05,47,23.00,0.47,35,35.00,12,-12.00
2022-05-06,34,10.00,0.43,22,22.00,12,-12.00
2022-05-07,5,5.00,1.00,5,5.00,0,0.00
2022-05-08,10,4.00,0.09,7,7.00,3,-3.00
2022-05-09,21,11.00,0.44,16,16.00,5,-5.00
2022-05-10,30,10.00,0.24,20,20.00,10,-10.00
2022-05-11,46,30.00,0.74,38,38.00,8,-8.00
2022-05-12,27,19.00,0.74,23,23.00,4,-4.00
2022-05-13,15,13.00,0.83,14,14.00,1,-1.00
2022-05-14,2,2.00,1.00,2,2.00,0,0.00
2022-05-15,8,8.00,1.00,8,8.00,0,0.00
2022-05-16,22,18.00,0.87,20,20.00,2,-2.00
2022-05-17,28,14.00,0.61,21,21.00,7,-7.00
2022-05-18,37,11.00,0.28,24,24.00,13,-13.00
2022-05-19,46,22.00,0.60,34,34.00,12,-12.00
2022-05-20,38,20.00,0.65,29,29.00,9,-9.00
2022-05-21,7,7.00,1.00,7,7.00,0,0.00
2022-05-22,9,3.00,0.55,6,6.00,3,-3.00
2022-05-23,40,26.00,0.62,33,33.00,7,-7.00
2022-05-24,36,16.00,0.57,26,26.00,10,-10.00
2022-05-25,99,57.00,0.61,78,78.00,21,-21.00
2022-05-26,119,69.00,0.67,94,94.00,25,-25.00
2022-05-27,125,73.00,0.67,99,99.00,26,-26.00
2022-05-28,22,10.00,0.43,16,16.00,6,-6.00
2022-05-29,11,7.00,0.52,9,9.00,2,-2.00
2022-05-30,43,25.00,0.67,34,34.00,9,-9.00
2022-05-31,62,42.00,0.72,52,52.00,10,-10.00
2022-06-01,63,39.00,0.66,51,51.00,12,-12.00
2022-06-02,69,39.00,0.54,54,54.00,15,-15.00
2022-06-03,11,9.00,0.88,10,10.00,1,-1.00
2022-06-04,8,6.00,0.83,7,7.00,1,-1.00
2022-06-05,10,8.00,0.91,9,9.00,1,-1.00
2022-06-06,38,28.00,0.87,33,33.00,5,-5.00
2022-06-07,29,25.00,0.91,27,27.00,2,-2.00
2022-06-08,58,42.00,0.79,50,50.00,8,-8.00
2022-06-09,50,38.00,0.80,44,44.00,6,-6.00
2022-06-10,62,36.00,0.58,49,49.00,13,-13.00
2022-06-11,4,4.00,1.00,4,4.00,0,0.00
2022-06-12,4,4.00,1.00,4,4.00,0,0.00
2022-06-13,79,35.00,0.66,57,57.00,22,-22.00
2022-06-14,67,39.00,0.64,53,53.00,14,-14.00
2022-06-15,71,11.00,0.29,41,41.00,30,-30.00
2022-06-16,44,22.00,0.33,33,33.00,11,-11.00
2022-06-17,94,38.00,0.46,66,66.00,28,-28.00
2022-06-18,8,4.00,0.62,6,6.00,2,-2.00
2022-06-19,8,6.00,0.84,7,7.00,1,-1.00
2022-06-20,54,22.00,0.48,38,38.00,16,-16.00
2022-06-21,60,26.00,0.57,43,43.00,17,-17.00
2022-06-22,63,17.00,0.38,40,40.00,23,-23.00
2022-06-23,199,77.00,0.38,138,138.00,61,-61.00
2022-06-24,165,85.00,0.51,125,125.00,40,-40.00
2022-06-25,19,9.00,0.54,14,14.00,5,-5.00
2022-06-26,20,16.00,0.83,18,18.00,2,-2.00
2022-06-27,53,33.00,0.67,43,43.00,10,-10.00
2022-06-28,41,19.00,0.62,30,30.00,11,-11.00
2022-06-29,59,31.00,0.52,45,45.00,14,-14.00
2022-06-30,114,62.00,0.61,88,88.00,26,-26.00
