time,all_num_东方盛虹,all_dic_score,东方盛虹舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-04-13,91,27.00,0.52,59,59.00,32,-32.00
2022-04-14,115,51.00,0.55,83,83.00,32,-32.00
2022-04-15,59,33.00,0.67,46,46.00,13,-13.00
2022-04-16,7,1.00,0.44,4,4.00,3,-3.00
2022-04-17,8,8.00,1.00,8,8.00,0,0.00
2022-04-18,94,52.00,0.57,73,73.00,21,-21.00
2022-04-19,47,27.00,0.65,37,37.00,10,-10.00
2022-04-20,91,21.00,0.43,56,56.00,35,-35.00
2022-04-21,188,54.00,0.48,121,121.00,67,-67.00
2022-04-22,56,28.00,0.68,42,42.00,14,-14.00
2022-04-23,11,5.00,0.15,8,8.00,3,-3.00
2022-04-24,8,8.00,1.00,8,8.00,0,0.00
2022-04-25,83,37.00,0.68,60,60.00,23,-23.00
2022-04-26,152,48.00,0.46,100,100.00,52,-52.00
2022-04-27,69,31.00,0.57,50,50.00,19,-19.00
2022-04-28,48,14.00,0.37,31,31.00,17,-17.00
2022-04-29,56,30.00,0.58,43,43.00,13,-13.00
2022-04-30,7,7.00,1.00,7,7.00,0,0.00
2022-05-01,8,-2.00,-0.42,3,3.00,5,-5.00
2022-05-02,7,5.00,0.64,6,6.00,1,-1.00
2022-05-03,4,2.00,0.81,3,3.00,1,-1.00
2022-05-04,7,5.00,0.69,6,6.00,1,-1.00
2022-05-05,45,19.00,0.58,32,32.00,13,-13.00
2022-05-06,56,26.00,0.61,41,41.00,15,-15.00
2022-05-07,11,5.00,0.51,8,8.00,3,-3.00
2022-05-08,6,4.00,0.96,5,5.00,1,-1.00
2022-05-09,58,34.00,0.69,46,46.00,12,-12.00
2022-05-10,74,28.00,0.58,51,51.00,23,-23.00
2022-05-11,59,25.00,0.56,42,42.00,17,-17.00
2022-05-12,41,13.00,0.52,27,27.00,14,-14.00
2022-05-13,25,3.00,0.23,14,14.00,11,-11.00
2022-05-14,6,4.00,0.69,5,5.00,1,-1.00
2022-05-15,11,11.00,1.00,11,11.00,0,0.00
2022-05-16,51,29.00,0.77,40,40.00,11,-11.00
2022-05-17,49,33.00,0.80,41,41.00,8,-8.00
2022-05-18,45,25.00,0.75,35,35.00,10,-10.00
2022-05-19,82,64.00,0.75,73,73.00,9,-9.00
2022-05-20,85,25.00,0.38,55,55.00,30,-30.00
2022-05-21,11,5.00,0.57,8,8.00,3,-3.00
2022-05-22,10,10.00,1.00,10,10.00,0,0.00
2022-05-23,71,57.00,0.89,64,64.00,7,-7.00
2022-05-24,80,48.00,0.66,64,64.00,16,-16.00
2022-05-25,81,45.00,0.68,63,63.00,18,-18.00
2022-05-26,45,29.00,0.78,37,37.00,8,-8.00
2022-05-27,36,14.00,0.39,25,25.00,11,-11.00
2022-05-28,5,3.00,0.41,4,4.00,1,-1.00
2022-05-29,6,6.00,1.00,6,6.00,0,0.00
2022-05-30,39,17.00,0.58,28,28.00,11,-11.00
2022-05-31,26,16.00,0.72,21,21.00,5,-5.00
2022-06-01,39,7.00,0.45,23,23.00,16,-16.00
2022-06-02,27,7.00,0.24,17,17.00,10,-10.00
2022-06-03,6,2.00,0.46,4,4.00,2,-2.00
2022-06-04,5,-1.00,0.11,2,2.00,3,-3.00
2022-06-05,5,5.00,1.00,5,5.00,0,0.00
2022-06-06,42,16.00,0.45,29,29.00,13,-13.00
2022-06-07,30,8.00,0.40,19,19.00,11,-11.00
2022-06-08,41,17.00,0.44,29,29.00,12,-12.00
2022-06-09,44,22.00,0.61,33,33.00,11,-11.00
2022-06-10,140,64.00,0.55,102,102.00,38,-38.00
2022-06-11,11,5.00,0.24,8,8.00,3,-3.00
2022-06-12,16,10.00,0.67,13,13.00,3,-3.00
2022-06-13,113,63.00,0.61,88,88.00,25,-25.00
2022-06-14,153,95.00,0.63,124,124.00,29,-29.00
2022-06-15,80,32.00,0.56,56,56.00,24,-24.00
2022-06-16,61,33.00,0.81,47,47.00,14,-14.00
2022-06-17,120,16.00,0.27,68,68.00,52,-52.00
2022-06-18,11,9.00,0.76,10,10.00,1,-1.00
2022-06-19,13,3.00,0.31,8,8.00,5,-5.00
2022-06-20,60,10.00,0.48,35,35.00,25,-25.00
2022-06-21,93,21.00,0.37,57,57.00,36,-36.00
2022-06-22,70,22.00,0.24,46,46.00,24,-24.00
2022-06-23,48,12.00,0.37,30,30.00,18,-18.00
2022-06-24,43,31.00,0.80,37,37.00,6,-6.00
2022-06-25,4,0.00,0.16,2,2.00,2,-2.00
2022-06-26,9,7.00,0.74,8,8.00,1,-1.00
2022-06-27,49,27.00,0.66,38,38.00,11,-11.00
2022-06-28,67,13.00,0.32,40,40.00,27,-27.00
2022-06-29,183,67.00,0.47,125,125.00,58,-58.00
2022-06-30,87,29.00,0.53,58,58.00,29,-29.00
