time,all_num_圣邦股份,all_dic_score,圣邦股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-06-18,5,3.00,0.74,4,4.00,1,-1.00
2022-06-19,6,4.00,0.21,5,5.00,1,-1.00
2022-06-20,11,7.00,0.79,9,9.00,2,-2.00
2022-06-21,23,11.00,0.35,17,17.00,6,-6.00
2022-06-22,47,15.00,0.39,31,31.00,16,-16.00
2022-06-23,51,25.00,0.51,38,38.00,13,-13.00
2022-06-24,25,11.00,0.51,18,18.00,7,-7.00
2022-06-25,5,3.00,0.70,4,4.00,1,-1.00
2022-06-26,5,5.00,1.00,5,5.00,0,0.00
2022-06-27,17,1.00,-0.03,9,9.00,8,-8.00
2022-06-28,23,11.00,0.42,17,17.00,6,-6.00
2022-06-29,17,11.00,0.75,14,14.00,3,-3.00
2022-06-30,25,1.00,-0.16,13,13.00,12,-12.00
