time,all_num_亿联网络,all_dic_score,亿联网络舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-02-09,19,3.00,0.23,11,11.00,8,-8.00
2022-02-10,11,5.00,0.47,8,8.00,3,-3.00
2022-02-11,20,8.00,0.47,14,14.00,6,-6.00
2022-02-12,2,2.00,1.00,2,2.00,0,0.00
2022-02-13,3,3.00,1.00,3,3.00,0,0.00
2022-02-14,4,4.00,1.00,4,4.00,0,0.00
2022-02-15,3,-1.00,-0.15,1,1.00,2,-2.00
2022-02-16,9,3.00,0.23,6,6.00,3,-3.00
2022-02-17,8,8.00,1.00,8,8.00,0,0.00
2022-02-18,10,8.00,0.68,9,9.00,1,-1.00
2022-02-19,2,2.00,1.00,2,2.00,0,0.00
2022-02-20,1,1.00,1.00,1,1.00,0,0.00
2022-02-21,4,4.00,1.00,4,4.00,0,0.00
2022-02-22,7,7.00,1.00,7,7.00,0,0.00
2022-02-23,6,0.00,0.17,3,3.00,3,-3.00
2022-02-24,6,2.00,0.16,4,4.00,2,-2.00
2022-02-25,2,2.00,1.00,2,2.00,0,0.00
2022-02-27,4,2.00,0.34,3,3.00,1,-1.00
2022-02-28,9,9.00,1.00,9,9.00,0,0.00
2022-03-01,7,7.00,1.00,7,7.00,0,0.00
2022-03-02,5,5.00,1.00,5,5.00,0,0.00
2022-03-03,4,4.00,1.00,4,4.00,0,0.00
2022-03-04,5,5.00,1.00,5,5.00,0,0.00
2022-03-05,1,1.00,1.00,1,1.00,0,0.00
2022-03-06,3,3.00,1.00,3,3.00,0,0.00
2022-03-07,3,3.00,1.00,3,3.00,0,0.00
2022-03-08,2,2.00,1.00,2,2.00,0,0.00
2022-03-10,13,5.00,0.48,9,9.00,4,-4.00
2022-03-11,5,3.00,0.76,4,4.00,1,-1.00
2022-03-13,1,1.00,1.00,1,1.00,0,0.00
2022-03-14,2,2.00,1.00,2,2.00,0,0.00
2022-03-15,3,1.00,-0.22,2,2.00,1,-1.00
2022-03-16,4,0.00,-0.16,2,2.00,2,-2.00
2022-03-17,5,3.00,0.35,4,4.00,1,-1.00
2022-03-18,7,3.00,0.34,5,5.00,2,-2.00
2022-03-19,1,1.00,1.00,1,1.00,0,0.00
2022-03-20,2,2.00,1.00,2,2.00,0,0.00
2022-03-21,4,4.00,1.00,4,4.00,0,0.00
2022-03-22,3,1.00,0.23,2,2.00,1,-1.00
2022-03-23,12,10.00,0.83,11,11.00,1,-1.00
2022-03-24,2,0.00,-0.41,1,1.00,1,-1.00
2022-03-25,3,3.00,1.00,3,3.00,0,0.00
2022-03-26,1,1.00,1.00,1,1.00,0,0.00
2022-03-27,3,1.00,0.39,2,2.00,1,-1.00
2022-03-28,2,0.00,-0.43,1,1.00,1,-1.00
2022-03-29,4,4.00,1.00,4,4.00,0,0.00
2022-03-30,6,6.00,1.00,6,6.00,0,0.00
2022-03-31,4,4.00,1.00,4,4.00,0,0.00
2022-04-01,4,4.00,1.00,4,4.00,0,0.00
2022-04-02,2,2.00,1.00,2,2.00,0,0.00
2022-04-03,1,1.00,1.00,1,1.00,0,0.00
2022-04-05,1,1.00,1.00,1,1.00,0,0.00
2022-04-06,3,3.00,1.00,3,3.00,0,0.00
2022-04-07,4,4.00,1.00,4,4.00,0,0.00
2022-04-08,4,2.00,0.42,3,3.00,1,-1.00
2022-04-11,6,4.00,0.67,5,5.00,1,-1.00
2022-04-12,11,7.00,0.65,9,9.00,2,-2.00
2022-04-13,22,20.00,0.90,21,21.00,1,-1.00
2022-04-14,42,10.00,0.35,26,26.00,16,-16.00
2022-04-15,20,6.00,0.49,13,13.00,7,-7.00
2022-04-16,1,1.00,1.00,1,1.00,0,0.00
2022-04-17,1,1.00,1.00,1,1.00,0,0.00
2022-04-18,13,1.00,0.15,7,7.00,6,-6.00
2022-04-19,8,6.00,0.86,7,7.00,1,-1.00
2022-04-20,4,4.00,1.00,4,4.00,0,0.00
2022-04-21,2,2.00,1.00,2,2.00,0,0.00
2022-04-22,69,69.00,1.00,69,69.00,0,0.00
2022-04-23,5,1.00,0.12,3,3.00,2,-2.00
2022-04-24,16,16.00,1.00,16,16.00,0,0.00
2022-04-25,30,20.00,0.77,25,25.00,5,-5.00
2022-04-26,11,7.00,0.78,9,9.00,2,-2.00
2022-04-27,4,4.00,1.00,4,4.00,0,0.00
2022-04-28,6,0.00,-0.26,3,3.00,3,-3.00
2022-04-29,5,5.00,1.00,5,5.00,0,0.00
2022-04-30,1,1.00,1.00,1,1.00,0,0.00
2022-05-01,1,1.00,1.00,1,1.00,0,0.00
2022-05-03,2,0.00,-0.19,1,1.00,1,-1.00
2022-05-04,2,2.00,1.00,2,2.00,0,0.00
2022-05-05,12,-2.00,-0.16,5,5.00,7,-7.00
2022-05-06,4,4.00,1.00,4,4.00,0,0.00
2022-05-07,2,2.00,1.00,2,2.00,0,0.00
2022-05-08,1,-1.00,-1.00,0,0.00,1,-1.00
2022-05-09,9,3.00,0.59,6,6.00,3,-3.00
2022-05-10,11,9.00,0.72,10,10.00,1,-1.00
2022-05-11,25,9.00,0.32,17,17.00,8,-8.00
2022-05-12,46,6.00,0.19,26,26.00,20,-20.00
2022-05-13,9,7.00,0.72,8,8.00,1,-1.00
2022-05-14,2,0.00,-0.13,1,1.00,1,-1.00
2022-05-15,2,2.00,1.00,2,2.00,0,0.00
2022-05-16,17,11.00,0.61,14,14.00,3,-3.00
2022-05-17,19,11.00,0.28,15,15.00,4,-4.00
2022-05-18,10,8.00,0.87,9,9.00,1,-1.00
2022-05-19,5,5.00,1.00,5,5.00,0,0.00
2022-05-20,4,2.00,0.68,3,3.00,1,-1.00
2022-05-23,9,5.00,0.52,7,7.00,2,-2.00
2022-05-24,4,2.00,0.46,3,3.00,1,-1.00
2022-05-25,7,5.00,0.79,6,6.00,1,-1.00
2022-05-26,8,4.00,0.52,6,6.00,2,-2.00
2022-05-27,11,7.00,0.76,9,9.00,2,-2.00
2022-05-29,2,2.00,1.00,2,2.00,0,0.00
2022-05-30,4,2.00,0.48,3,3.00,1,-1.00
2022-05-31,6,2.00,0.27,4,4.00,2,-2.00
2022-06-01,14,14.00,1.00,14,14.00,0,0.00
2022-06-02,9,9.00,1.00,9,9.00,0,0.00
2022-06-03,2,2.00,1.00,2,2.00,0,0.00
2022-06-05,2,2.00,1.00,2,2.00,0,0.00
2022-06-06,2,2.00,1.00,2,2.00,0,0.00
2022-06-07,3,3.00,1.00,3,3.00,0,0.00
2022-06-08,3,1.00,0.08,2,2.00,1,-1.00
2022-06-09,1,1.00,1.00,1,1.00,0,0.00
2022-06-10,5,5.00,1.00,5,5.00,0,0.00
2022-06-11,1,1.00,1.00,1,1.00,0,0.00
2022-06-12,2,2.00,1.00,2,2.00,0,0.00
2022-06-13,2,2.00,1.00,2,2.00,0,0.00
2022-06-14,6,6.00,1.00,6,6.00,0,0.00
2022-06-15,4,0.00,-0.21,2,2.00,2,-2.00
2022-06-16,8,6.00,0.74,7,7.00,1,-1.00
2022-06-17,9,7.00,0.79,8,8.00,1,-1.00
2022-06-18,1,1.00,1.00,1,1.00,0,0.00
2022-06-19,1,1.00,1.00,1,1.00,0,0.00
2022-06-20,4,2.00,0.74,3,3.00,1,-1.00
2022-06-21,2,0.00,0.49,1,1.00,1,-1.00
2022-06-22,8,0.00,0.13,4,4.00,4,-4.00
2022-06-23,5,-1.00,-0.16,2,2.00,3,-3.00
2022-06-24,3,3.00,1.00,3,3.00,0,0.00
2022-06-25,1,1.00,1.00,1,1.00,0,0.00
2022-06-26,3,3.00,1.00,3,3.00,0,0.00
2022-06-27,1,1.00,1.00,1,1.00,0,0.00
2022-06-28,2,2.00,1.00,2,2.00,0,0.00
2022-06-29,3,3.00,1.00,3,3.00,0,0.00
2022-06-30,2,2.00,1.00,2,2.00,0,0.00
