time,all_num_粤传媒,all_dic_score,粤传媒舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-05-01,1,1.00,1.00,1,1.00,0,0.00
2021-05-02,2,0.00,0.04,1,1.00,1,-1.00
2021-05-03,1,-1.00,-1.00,0,0.00,1,-1.00
2021-05-04,2,0.00,-0.15,1,1.00,1,-1.00
2021-05-05,9,5.00,0.62,7,7.00,2,-2.00
2021-05-06,25,-3.00,0.03,11,11.00,14,-14.00
2021-05-07,14,8.00,0.65,11,11.00,3,-3.00
2021-05-08,2,0.00,-0.16,1,1.00,1,-1.00
2021-05-09,2,-2.00,-1.00,0,0.00,2,-2.00
2021-05-10,14,0.00,0.20,7,7.00,7,-7.00
2021-05-11,18,6.00,0.39,12,12.00,6,-6.00
2021-05-12,12,2.00,0.23,7,7.00,5,-5.00
2021-05-13,13,-1.00,-0.10,6,6.00,7,-7.00
2021-05-14,41,21.00,0.57,31,31.00,10,-10.00
2021-05-15,7,-1.00,-0.10,3,3.00,4,-4.00
2021-05-16,11,3.00,0.56,7,7.00,4,-4.00
2021-05-17,31,7.00,0.39,19,19.00,12,-12.00
2021-05-18,22,2.00,0.20,12,12.00,10,-10.00
2021-05-19,15,1.00,-0.10,8,8.00,7,-7.00
2021-05-20,24,-4.00,-0.24,10,10.00,14,-14.00
2021-05-21,18,6.00,-0.20,12,12.00,6,-6.00
2021-05-22,5,3.00,0.69,4,4.00,1,-1.00
2021-05-23,6,4.00,0.81,5,5.00,1,-1.00
2021-05-24,14,0.00,0.16,7,7.00,7,-7.00
2021-05-25,40,-4.00,0.04,18,18.00,22,-22.00
2021-05-26,23,5.00,0.37,14,14.00,9,-9.00
2021-05-27,14,-2.00,0.03,6,6.00,8,-8.00
2021-05-28,14,6.00,0.54,10,10.00,4,-4.00
2021-05-29,2,0.00,-0.03,1,1.00,1,-1.00
2021-05-30,2,2.00,1.00,2,2.00,0,0.00
2021-05-31,14,8.00,0.67,11,11.00,3,-3.00
2021-06-01,45,3.00,0.17,24,24.00,21,-21.00
2021-06-02,25,-3.00,-0.10,11,11.00,14,-14.00
2021-06-03,16,0.00,0.13,8,8.00,8,-8.00
2021-06-04,17,3.00,-0.21,10,10.00,7,-7.00
2021-06-05,1,1.00,1.00,1,1.00,0,0.00
2021-06-06,5,3.00,0.61,4,4.00,1,-1.00
2021-06-07,23,-3.00,0.15,10,10.00,13,-13.00
2021-06-08,19,9.00,0.40,14,14.00,5,-5.00
2021-06-09,19,5.00,0.32,12,12.00,7,-7.00
2021-06-10,18,-6.00,-0.27,6,6.00,12,-12.00
2021-06-11,11,-3.00,-0.23,4,4.00,7,-7.00
2021-06-13,1,-1.00,-1.00,0,0.00,1,-1.00
2021-06-14,3,1.00,0.45,2,2.00,1,-1.00
2021-06-15,8,2.00,0.47,5,5.00,3,-3.00
2021-06-16,5,1.00,0.20,3,3.00,2,-2.00
2021-06-17,14,2.00,0.19,8,8.00,6,-6.00
2021-06-18,3,1.00,0.32,2,2.00,1,-1.00
2021-06-20,2,0.00,-0.11,1,1.00,1,-1.00
2021-06-21,5,-1.00,-0.03,2,2.00,3,-3.00
2021-06-22,7,-1.00,-0.12,3,3.00,4,-4.00
2021-06-23,34,10.00,0.35,22,22.00,12,-12.00
2021-06-24,28,8.00,0.38,18,18.00,10,-10.00
2021-06-25,12,-2.00,0.03,5,5.00,7,-7.00
2021-06-26,1,1.00,1.00,1,1.00,0,0.00
2021-06-27,3,3.00,1.00,3,3.00,0,0.00
2021-06-28,12,6.00,0.73,9,9.00,3,-3.00
2021-06-29,8,6.00,0.85,7,7.00,1,-1.00
2021-06-30,16,2.00,0.26,9,9.00,7,-7.00
2021-07-01,8,4.00,0.69,6,6.00,2,-2.00
2021-07-02,6,2.00,0.72,4,4.00,2,-2.00
2021-07-04,3,1.00,0.47,2,2.00,1,-1.00
2021-07-05,6,0.00,0.13,3,3.00,3,-3.00
2021-07-06,6,2.00,0.44,4,4.00,2,-2.00
2021-07-07,17,-1.00,0.04,8,8.00,9,-9.00
2021-07-08,4,4.00,1.00,4,4.00,0,0.00
2021-07-09,12,-2.00,0.02,5,5.00,7,-7.00
2021-07-10,3,3.00,1.00,3,3.00,0,0.00
2021-07-11,2,2.00,1.00,2,2.00,0,0.00
2021-07-12,12,4.00,0.31,8,8.00,4,-4.00
2021-07-13,10,2.00,0.09,6,6.00,4,-4.00
2021-07-14,5,1.00,0.50,3,3.00,2,-2.00
2021-07-15,10,-2.00,-0.10,4,4.00,6,-6.00
2021-07-16,4,4.00,1.00,4,4.00,0,0.00
2021-07-17,1,1.00,1.00,1,1.00,0,0.00
2021-07-18,2,2.00,1.00,2,2.00,0,0.00
2021-07-19,8,0.00,0.12,4,4.00,4,-4.00
2021-07-20,7,3.00,0.48,5,5.00,2,-2.00
2021-07-21,8,-2.00,-0.13,3,3.00,5,-5.00
2021-07-22,32,6.00,0.32,19,19.00,13,-13.00
2021-07-23,8,0.00,0.03,4,4.00,4,-4.00
2021-07-25,2,0.00,0.07,1,1.00,1,-1.00
2021-07-26,7,-1.00,0.06,3,3.00,4,-4.00
2021-07-27,6,4.00,0.90,5,5.00,1,-1.00
2021-07-28,8,2.00,0.25,5,5.00,3,-3.00
2021-07-29,20,-10.00,-0.36,5,5.00,15,-15.00
2021-07-30,5,-1.00,0.10,2,2.00,3,-3.00
2021-08-01,2,2.00,1.00,2,2.00,0,0.00
2021-08-02,1,1.00,1.00,1,1.00,0,0.00
2021-08-03,6,0.00,-0.37,3,3.00,3,-3.00
2021-08-04,12,-2.00,-0.19,5,5.00,7,-7.00
2021-08-05,8,2.00,0.29,5,5.00,3,-3.00
2021-08-06,5,1.00,0.47,3,3.00,2,-2.00
2021-08-08,2,2.00,1.00,2,2.00,0,0.00
2021-08-09,2,0.00,0.06,1,1.00,1,-1.00
2021-08-10,14,-2.00,-0.13,6,6.00,8,-8.00
2021-08-11,7,-3.00,-0.29,2,2.00,5,-5.00
2021-08-12,5,1.00,0.40,3,3.00,2,-2.00
2021-08-13,5,-1.00,0.06,2,2.00,3,-3.00
2021-08-14,1,-1.00,-1.00,0,0.00,1,-1.00
2021-08-15,1,1.00,1.00,1,1.00,0,0.00
2021-08-16,3,3.00,1.00,3,3.00,0,0.00
2021-08-17,8,2.00,0.33,5,5.00,3,-3.00
2021-08-18,10,2.00,0.28,6,6.00,4,-4.00
2021-08-19,6,6.00,1.00,6,6.00,0,0.00
2021-08-20,7,-1.00,-0.06,3,3.00,4,-4.00
2021-08-22,3,-1.00,-0.43,1,1.00,2,-2.00
2021-08-23,11,-1.00,0.37,5,5.00,6,-6.00
2021-08-24,8,2.00,0.62,5,5.00,3,-3.00
2021-08-25,5,1.00,0.23,3,3.00,2,-2.00
2021-08-26,5,-1.00,-0.23,2,2.00,3,-3.00
2021-08-27,31,9.00,0.54,20,20.00,11,-11.00
2021-08-28,9,7.00,0.80,8,8.00,1,-1.00
2021-08-29,2,2.00,1.00,2,2.00,0,0.00
2021-08-30,5,1.00,0.43,3,3.00,2,-2.00
2021-08-31,3,-1.00,-0.30,1,1.00,2,-2.00
2021-09-01,6,2.00,0.45,4,4.00,2,-2.00
2021-09-02,9,-5.00,-0.11,2,2.00,7,-7.00
2021-09-03,5,3.00,0.69,4,4.00,1,-1.00
2021-09-04,1,1.00,1.00,1,1.00,0,0.00
2021-09-05,2,2.00,1.00,2,2.00,0,0.00
2021-09-06,7,-1.00,-0.25,3,3.00,4,-4.00
2021-09-07,5,1.00,-0.76,3,3.00,2,-2.00
2021-09-08,6,6.00,1.00,6,6.00,0,0.00
2021-09-09,4,4.00,1.00,4,4.00,0,0.00
2021-09-10,9,-3.00,-0.40,3,3.00,6,-6.00
2021-09-11,2,0.00,-0.15,1,1.00,1,-1.00
2021-09-12,1,1.00,1.00,1,1.00,0,0.00
2021-09-13,7,1.00,-0.51,4,4.00,3,-3.00
2021-09-14,6,-2.00,-0.07,2,2.00,4,-4.00
2021-09-15,3,3.00,1.00,3,3.00,0,0.00
2021-09-16,6,4.00,0.89,5,5.00,1,-1.00
2021-09-17,3,3.00,1.00,3,3.00,0,0.00
2021-09-18,1,-1.00,-1.00,0,0.00,1,-1.00
2021-09-19,2,2.00,1.00,2,2.00,0,0.00
2021-09-21,1,1.00,1.00,1,1.00,0,0.00
2021-09-22,5,3.00,0.74,4,4.00,1,-1.00
2021-09-23,16,-6.00,-0.31,5,5.00,11,-11.00
2021-09-24,8,-4.00,-0.41,2,2.00,6,-6.00
2021-09-25,1,1.00,1.00,1,1.00,0,0.00
2021-09-26,3,-3.00,-1.00,0,0.00,3,-3.00
2021-09-27,10,2.00,0.46,6,6.00,4,-4.00
2021-09-28,6,-2.00,0.07,2,2.00,4,-4.00
2021-09-29,7,-1.00,-0.08,3,3.00,4,-4.00
2021-09-30,5,-3.00,-0.64,1,1.00,4,-4.00
2021-10-01,1,1.00,1.00,1,1.00,0,0.00
2021-10-02,1,-1.00,-1.00,0,0.00,1,-1.00
2021-10-06,1,-1.00,-1.00,0,0.00,1,-1.00
2021-10-07,1,1.00,1.00,1,1.00,0,0.00
2021-10-08,4,4.00,1.00,4,4.00,0,0.00
2021-10-09,2,-2.00,-1.00,0,0.00,2,-2.00
2021-10-11,4,2.00,0.72,3,3.00,1,-1.00
2021-10-12,8,-4.00,-0.47,2,2.00,6,-6.00
2021-10-13,6,0.00,-0.03,3,3.00,3,-3.00
2021-10-14,10,4.00,0.50,7,7.00,3,-3.00
2021-10-15,6,0.00,0.33,3,3.00,3,-3.00
2021-10-17,5,3.00,0.69,4,4.00,1,-1.00
2021-10-18,6,-2.00,-0.16,2,2.00,4,-4.00
2021-10-19,8,-2.00,-0.23,3,3.00,5,-5.00
2021-10-20,4,2.00,0.56,3,3.00,1,-1.00
2021-10-21,24,-4.00,-0.18,10,10.00,14,-14.00
2021-10-22,22,2.00,0.22,12,12.00,10,-10.00
2021-10-23,1,-1.00,-1.00,0,0.00,1,-1.00
2021-10-24,2,2.00,1.00,2,2.00,0,0.00
2021-10-25,11,-3.00,-0.15,4,4.00,7,-7.00
2021-10-26,9,3.00,0.40,6,6.00,3,-3.00
2021-10-27,14,0.00,0.02,7,7.00,7,-7.00
2021-10-28,14,2.00,0.22,8,8.00,6,-6.00
2021-10-29,13,5.00,0.58,9,9.00,4,-4.00
2021-10-30,3,3.00,1.00,3,3.00,0,0.00
2021-10-31,1,1.00,1.00,1,1.00,0,0.00
2021-11-01,7,-1.00,-0.08,3,3.00,4,-4.00
2021-11-02,9,5.00,0.60,7,7.00,2,-2.00
2021-11-03,9,-3.00,-0.47,3,3.00,6,-6.00
2021-11-04,11,1.00,0.23,6,6.00,5,-5.00
2021-11-05,12,-2.00,0.05,5,5.00,7,-7.00
2021-11-07,5,-3.00,-0.55,1,1.00,4,-4.00
2021-11-08,4,2.00,0.46,3,3.00,1,-1.00
2021-11-09,6,-2.00,-0.16,2,2.00,4,-4.00
2021-11-10,10,0.00,0.24,5,5.00,5,-5.00
2021-11-11,8,0.00,0.28,4,4.00,4,-4.00
2021-11-12,4,2.00,0.75,3,3.00,1,-1.00
2021-11-14,2,0.00,-0.03,1,1.00,1,-1.00
2021-11-15,2,2.00,1.00,2,2.00,0,0.00
2021-11-16,3,3.00,1.00,3,3.00,0,0.00
2021-11-17,20,8.00,0.38,14,14.00,6,-6.00
2021-11-18,34,0.00,0.04,17,17.00,17,-17.00
2021-11-19,16,0.00,-0.03,8,8.00,8,-8.00
2021-11-20,7,1.00,0.11,4,4.00,3,-3.00
2021-11-21,2,0.00,0.05,1,1.00,1,-1.00
2021-11-22,6,0.00,0.08,3,3.00,3,-3.00
2021-11-23,7,-1.00,-0.06,3,3.00,4,-4.00
2021-11-24,4,0.00,0.12,2,2.00,2,-2.00
2021-11-25,10,2.00,0.32,6,6.00,4,-4.00
2021-11-26,12,2.00,0.21,7,7.00,5,-5.00
2021-11-27,2,2.00,1.00,2,2.00,0,0.00
2021-11-28,4,-2.00,-0.52,1,1.00,3,-3.00
2021-11-29,13,1.00,0.29,7,7.00,6,-6.00
2021-11-30,5,1.00,0.53,3,3.00,2,-2.00
2021-12-01,10,2.00,0.15,6,6.00,4,-4.00
2021-12-02,4,0.00,-0.02,2,2.00,2,-2.00
2021-12-03,4,2.00,0.48,3,3.00,1,-1.00
2021-12-04,2,0.00,0.03,1,1.00,1,-1.00
2021-12-05,5,1.00,0.14,3,3.00,2,-2.00
2021-12-06,6,2.00,0.34,4,4.00,2,-2.00
2021-12-07,5,1.00,0.20,3,3.00,2,-2.00
2021-12-08,10,-6.00,-0.64,2,2.00,8,-8.00
2021-12-09,8,0.00,0.08,4,4.00,4,-4.00
2021-12-10,18,-2.00,0.01,8,8.00,10,-10.00
2021-12-11,1,1.00,1.00,1,1.00,0,0.00
2021-12-12,4,4.00,1.00,4,4.00,0,0.00
2021-12-13,11,-5.00,-0.51,3,3.00,8,-8.00
2021-12-14,13,-5.00,-0.25,4,4.00,9,-9.00
2021-12-15,9,-1.00,-0.11,4,4.00,5,-5.00
2021-12-16,11,-1.00,0.06,5,5.00,6,-6.00
2021-12-17,15,1.00,0.24,8,8.00,7,-7.00
2021-12-19,2,0.00,-0.14,1,1.00,1,-1.00
2021-12-20,8,-2.00,-0.11,3,3.00,5,-5.00
2021-12-21,8,0.00,0.01,4,4.00,4,-4.00
2021-12-22,10,0.00,0.01,5,5.00,5,-5.00
2021-12-23,8,0.00,0.04,4,4.00,4,-4.00
2021-12-24,6,0.00,0.21,3,3.00,3,-3.00
2021-12-25,3,1.00,0.45,2,2.00,1,-1.00
2021-12-26,5,-1.00,0.02,2,2.00,3,-3.00
2021-12-27,10,-2.00,-0.10,4,4.00,6,-6.00
2021-12-28,8,-2.00,-0.08,3,3.00,5,-5.00
2021-12-29,4,0.00,0.14,2,2.00,2,-2.00
2021-12-30,11,1.00,0.22,6,6.00,5,-5.00
2021-12-31,14,8.00,0.51,11,11.00,3,-3.00
2022-01-01,2,-2.00,-1.00,0,0.00,2,-2.00
2022-01-02,2,0.00,0.25,1,1.00,1,-1.00
2022-01-03,2,2.00,1.00,2,2.00,0,0.00
2022-01-04,7,1.00,-0.06,4,4.00,3,-3.00
2022-01-05,2,2.00,1.00,2,2.00,0,0.00
2022-01-06,7,-5.00,-0.74,1,1.00,6,-6.00
2022-01-07,10,-6.00,-0.37,2,2.00,8,-8.00
2022-01-08,2,0.00,0.06,1,1.00,1,-1.00
2022-01-09,1,1.00,1.00,1,1.00,0,0.00
2022-01-10,7,1.00,0.19,4,4.00,3,-3.00
2022-01-11,5,3.00,0.61,4,4.00,1,-1.00
2022-01-12,9,1.00,0.22,5,5.00,4,-4.00
2022-01-13,6,-2.00,-0.33,2,2.00,4,-4.00
2022-01-14,3,1.00,0.30,2,2.00,1,-1.00
2022-01-16,1,1.00,1.00,1,1.00,0,0.00
2022-01-17,10,0.00,-0.18,5,5.00,5,-5.00
2022-01-18,6,6.00,1.00,6,6.00,0,0.00
2022-01-19,11,-1.00,-0.11,5,5.00,6,-6.00
2022-01-20,5,3.00,0.64,4,4.00,1,-1.00
2022-01-21,5,-1.00,-0.29,2,2.00,3,-3.00
2022-01-22,1,1.00,1.00,1,1.00,0,0.00
2022-01-23,5,5.00,1.00,5,5.00,0,0.00
2022-01-24,8,6.00,0.76,7,7.00,1,-1.00
2022-01-25,10,4.00,0.43,7,7.00,3,-3.00
2022-01-26,3,1.00,0.74,2,2.00,1,-1.00
2022-01-27,5,3.00,0.63,4,4.00,1,-1.00
2022-01-28,6,0.00,-0.03,3,3.00,3,-3.00
2022-01-29,2,0.00,0.02,1,1.00,1,-1.00
2022-01-30,1,1.00,1.00,1,1.00,0,0.00
2022-02-01,2,2.00,1.00,2,2.00,0,0.00
2022-02-04,1,1.00,1.00,1,1.00,0,0.00
2022-02-07,1,1.00,1.00,1,1.00,0,0.00
2022-02-08,4,0.00,0.08,2,2.00,2,-2.00
2022-02-09,6,2.00,0.38,4,4.00,2,-2.00
2022-02-10,6,0.00,-0.29,3,3.00,3,-3.00
2022-02-11,2,2.00,1.00,2,2.00,0,0.00
2022-02-13,1,1.00,1.00,1,1.00,0,0.00
2022-02-14,5,3.00,0.35,4,4.00,1,-1.00
2022-02-15,2,2.00,1.00,2,2.00,0,0.00
2022-02-16,8,2.00,0.25,5,5.00,3,-3.00
2022-02-17,2,2.00,1.00,2,2.00,0,0.00
2022-02-18,1,1.00,1.00,1,1.00,0,0.00
2022-02-19,1,1.00,1.00,1,1.00,0,0.00
2022-02-20,2,0.00,-0.12,1,1.00,1,-1.00
2022-02-21,3,1.00,0.39,2,2.00,1,-1.00
2022-02-22,4,2.00,0.56,3,3.00,1,-1.00
2022-02-23,6,0.00,-0.01,3,3.00,3,-3.00
2022-02-24,7,3.00,0.39,5,5.00,2,-2.00
2022-02-25,3,1.00,0.40,2,2.00,1,-1.00
2022-02-27,2,2.00,1.00,2,2.00,0,0.00
2022-02-28,6,2.00,0.35,4,4.00,2,-2.00
2022-03-01,1,1.00,1.00,1,1.00,0,0.00
2022-03-02,2,2.00,1.00,2,2.00,0,0.00
2022-03-03,1,1.00,1.00,1,1.00,0,0.00
2022-03-04,2,2.00,1.00,2,2.00,0,0.00
2022-03-05,1,-1.00,-1.00,0,0.00,1,-1.00
2022-03-06,1,1.00,1.00,1,1.00,0,0.00
2022-03-07,5,5.00,1.00,5,5.00,0,0.00
2022-03-08,2,2.00,1.00,2,2.00,0,0.00
2022-03-09,1,1.00,1.00,1,1.00,0,0.00
2022-03-10,1,1.00,1.00,1,1.00,0,0.00
2022-03-11,1,1.00,1.00,1,1.00,0,0.00
2022-03-12,3,1.00,0.36,2,2.00,1,-1.00
2022-03-13,4,2.00,0.33,3,3.00,1,-1.00
2022-03-14,1,1.00,1.00,1,1.00,0,0.00
2022-03-15,3,1.00,0.55,2,2.00,1,-1.00
2022-03-16,3,1.00,0.37,2,2.00,1,-1.00
2022-03-17,5,1.00,0.28,3,3.00,2,-2.00
2022-03-18,33,11.00,0.36,22,22.00,11,-11.00
2022-03-20,1,1.00,1.00,1,1.00,0,0.00
2022-03-21,34,16.00,0.50,25,25.00,9,-9.00
2022-03-22,81,29.00,0.38,55,55.00,26,-26.00
2022-03-23,38,10.00,0.29,24,24.00,14,-14.00
2022-03-24,40,4.00,0.08,22,22.00,18,-18.00
2022-03-25,32,4.00,0.11,18,18.00,14,-14.00
2022-03-27,1,1.00,1.00,1,1.00,0,0.00
2022-03-28,3,1.00,0.37,2,2.00,1,-1.00
2022-03-29,3,-1.00,-0.46,1,1.00,2,-2.00
2022-03-30,2,0.00,-0.47,1,1.00,1,-1.00
2022-04-01,3,3.00,1.00,3,3.00,0,0.00
2022-04-04,2,2.00,1.00,2,2.00,0,0.00
2022-04-05,2,0.00,-0.01,1,1.00,1,-1.00
2022-04-06,14,2.00,0.15,8,8.00,6,-6.00
2022-04-07,3,3.00,1.00,3,3.00,0,0.00
2022-04-08,2,-2.00,-1.00,0,0.00,2,-2.00
2022-04-10,1,1.00,1.00,1,1.00,0,0.00
2022-04-11,3,-1.00,-0.69,1,1.00,2,-2.00
2022-04-12,2,0.00,-0.40,1,1.00,1,-1.00
2022-04-13,1,1.00,1.00,1,1.00,0,0.00
2022-04-14,2,2.00,1.00,2,2.00,0,0.00
2022-04-15,4,2.00,0.35,3,3.00,1,-1.00
2022-04-17,2,2.00,1.00,2,2.00,0,0.00
2022-04-18,6,2.00,-0.31,4,4.00,2,-2.00
2022-04-19,3,-1.00,-0.55,1,1.00,2,-2.00
2022-04-20,4,2.00,0.48,3,3.00,1,-1.00
2022-04-21,4,2.00,0.29,3,3.00,1,-1.00
2022-04-22,4,0.00,0.04,2,2.00,2,-2.00
2022-04-24,2,2.00,1.00,2,2.00,0,0.00
2022-04-25,7,5.00,0.43,6,6.00,1,-1.00
2022-04-26,4,4.00,1.00,4,4.00,0,0.00
2022-04-27,29,25.00,0.77,27,27.00,2,-2.00
2022-04-28,6,6.00,1.00,6,6.00,0,0.00
2022-04-29,6,4.00,0.58,5,5.00,1,-1.00
2022-04-30,1,1.00,1.00,1,1.00,0,0.00
2022-05-01,1,1.00,1.00,1,1.00,0,0.00
2022-05-03,1,1.00,1.00,1,1.00,0,0.00
2022-05-05,2,2.00,1.00,2,2.00,0,0.00
2022-05-06,5,5.00,1.00,5,5.00,0,0.00
2022-05-09,1,1.00,1.00,1,1.00,0,0.00
2022-05-10,1,1.00,1.00,1,1.00,0,0.00
2022-05-11,1,1.00,1.00,1,1.00,0,0.00
2022-05-12,2,0.00,-0.16,1,1.00,1,-1.00
2022-05-13,1,1.00,1.00,1,1.00,0,0.00
2022-05-14,2,0.00,-0.46,1,1.00,1,-1.00
2022-05-15,2,0.00,-0.33,1,1.00,1,-1.00
2022-05-16,4,0.00,0.24,2,2.00,2,-2.00
2022-05-17,2,2.00,1.00,2,2.00,0,0.00
2022-05-18,3,-1.00,-0.36,1,1.00,2,-2.00
2022-05-19,3,1.00,0.43,2,2.00,1,-1.00
2022-05-20,3,3.00,1.00,3,3.00,0,0.00
2022-05-22,4,-2.00,-0.73,1,1.00,3,-3.00
