time,all_num_皖通高速,all_dic_score,皖通高速舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-04-18,2,2.00,1.00,2,2.00,0,0.00
2021-04-19,8,6.00,0.79,7,7.00,1,-1.00
2021-04-20,6,4.00,0.25,5,5.00,1,-1.00
2021-04-21,6,6.00,1.00,6,6.00,0,0.00
2021-04-22,4,4.00,1.00,4,4.00,0,0.00
2021-04-23,4,4.00,1.00,4,4.00,0,0.00
2021-04-24,3,3.00,1.00,3,3.00,0,0.00
2021-04-25,2,2.00,1.00,2,2.00,0,0.00
2021-04-26,6,4.00,0.74,5,5.00,1,-1.00
2021-04-27,6,6.00,1.00,6,6.00,0,0.00
2021-04-28,19,17.00,0.90,18,18.00,1,-1.00
2021-04-29,24,20.00,0.87,22,22.00,2,-2.00
2021-04-30,13,13.00,1.00,13,13.00,0,0.00
2021-05-01,2,2.00,1.00,2,2.00,0,0.00
2021-05-02,1,1.00,1.00,1,1.00,0,0.00
2021-05-03,1,1.00,1.00,1,1.00,0,0.00
2021-05-04,2,2.00,1.00,2,2.00,0,0.00
2021-05-05,3,3.00,1.00,3,3.00,0,0.00
2021-05-07,6,6.00,1.00,6,6.00,0,0.00
2021-05-08,2,2.00,1.00,2,2.00,0,0.00
2021-05-11,6,4.00,0.68,5,5.00,1,-1.00
2021-05-12,3,3.00,1.00,3,3.00,0,0.00
2021-05-13,5,5.00,1.00,5,5.00,0,0.00
2021-05-14,6,6.00,1.00,6,6.00,0,0.00
2021-05-15,2,2.00,1.00,2,2.00,0,0.00
2021-05-16,3,3.00,1.00,3,3.00,0,0.00
2021-05-17,3,1.00,0.81,2,2.00,1,-1.00
2021-05-18,6,6.00,1.00,6,6.00,0,0.00
2021-05-19,5,5.00,1.00,5,5.00,0,0.00
2021-05-20,2,2.00,1.00,2,2.00,0,0.00
2021-05-21,7,7.00,1.00,7,7.00,0,0.00
2021-05-22,2,2.00,1.00,2,2.00,0,0.00
2021-05-23,3,1.00,0.44,2,2.00,1,-1.00
2021-05-24,3,3.00,1.00,3,3.00,0,0.00
2021-05-25,3,3.00,1.00,3,3.00,0,0.00
2021-05-26,3,3.00,1.00,3,3.00,0,0.00
2021-05-27,8,8.00,1.00,8,8.00,0,0.00
2021-05-28,3,3.00,1.00,3,3.00,0,0.00
2021-05-29,3,3.00,1.00,3,3.00,0,0.00
2021-05-30,2,2.00,1.00,2,2.00,0,0.00
2021-05-31,9,7.00,0.89,8,8.00,1,-1.00
2021-06-01,6,2.00,0.39,4,4.00,2,-2.00
2021-06-02,6,6.00,1.00,6,6.00,0,0.00
2021-06-03,7,7.00,1.00,7,7.00,0,0.00
2021-06-04,6,4.00,0.76,5,5.00,1,-1.00
2021-06-05,2,2.00,1.00,2,2.00,0,0.00
2021-06-06,4,4.00,1.00,4,4.00,0,0.00
2021-06-08,6,6.00,1.00,6,6.00,0,0.00
2021-06-09,3,3.00,1.00,3,3.00,0,0.00
2021-06-10,5,5.00,1.00,5,5.00,0,0.00
2021-06-11,4,4.00,1.00,4,4.00,0,0.00
2021-06-12,4,4.00,1.00,4,4.00,0,0.00
2021-06-14,6,6.00,1.00,6,6.00,0,0.00
2021-06-15,5,5.00,1.00,5,5.00,0,0.00
2021-06-16,2,2.00,1.00,2,2.00,0,0.00
2021-06-17,5,5.00,1.00,5,5.00,0,0.00
2021-06-18,1,1.00,1.00,1,1.00,0,0.00
2021-06-19,1,1.00,1.00,1,1.00,0,0.00
2021-06-20,2,2.00,1.00,2,2.00,0,0.00
2021-06-21,6,6.00,1.00,6,6.00,0,0.00
2021-06-22,1,1.00,1.00,1,1.00,0,0.00
2021-06-23,12,6.00,0.49,9,9.00,3,-3.00
2021-06-24,6,6.00,1.00,6,6.00,0,0.00
2021-06-25,8,8.00,1.00,8,8.00,0,0.00
2021-06-26,1,1.00,1.00,1,1.00,0,0.00
2021-06-27,3,3.00,1.00,3,3.00,0,0.00
2021-06-28,4,2.00,0.53,3,3.00,1,-1.00
2021-06-29,11,5.00,0.50,8,8.00,3,-3.00
2021-06-30,8,8.00,1.00,8,8.00,0,0.00
2021-07-01,10,6.00,0.70,8,8.00,2,-2.00
2021-07-02,9,7.00,0.88,8,8.00,1,-1.00
2021-07-03,1,1.00,1.00,1,1.00,0,0.00
2021-07-04,1,1.00,1.00,1,1.00,0,0.00
2021-07-05,6,6.00,1.00,6,6.00,0,0.00
2021-07-06,2,2.00,1.00,2,2.00,0,0.00
2021-07-07,12,6.00,0.70,9,9.00,3,-3.00
2021-07-08,7,5.00,0.70,6,6.00,1,-1.00
2021-07-09,10,8.00,0.78,9,9.00,1,-1.00
2021-07-10,6,4.00,0.70,5,5.00,1,-1.00
2021-07-11,2,2.00,1.00,2,2.00,0,0.00
2021-07-12,2,0.00,0.03,1,1.00,1,-1.00
2021-07-13,6,4.00,0.78,5,5.00,1,-1.00
2021-07-14,8,8.00,1.00,8,8.00,0,0.00
2021-07-15,12,12.00,1.00,12,12.00,0,0.00
2021-07-16,17,15.00,0.92,16,16.00,1,-1.00
2021-07-17,2,2.00,1.00,2,2.00,0,0.00
2021-07-18,2,2.00,1.00,2,2.00,0,0.00
2021-07-19,4,4.00,1.00,4,4.00,0,0.00
2021-07-20,15,15.00,1.00,15,15.00,0,0.00
2021-07-21,7,7.00,1.00,7,7.00,0,0.00
2021-07-22,2,2.00,1.00,2,2.00,0,0.00
2021-07-23,6,6.00,1.00,6,6.00,0,0.00
2021-07-24,3,3.00,1.00,3,3.00,0,0.00
2021-07-25,3,3.00,1.00,3,3.00,0,0.00
2021-07-26,5,3.00,0.77,4,4.00,1,-1.00
2021-07-27,8,8.00,1.00,8,8.00,0,0.00
2021-07-28,5,5.00,1.00,5,5.00,0,0.00
2021-07-29,4,0.00,0.07,2,2.00,2,-2.00
2021-07-30,5,5.00,1.00,5,5.00,0,0.00
2021-07-31,4,4.00,1.00,4,4.00,0,0.00
2021-08-01,2,2.00,1.00,2,2.00,0,0.00
2021-08-02,5,5.00,1.00,5,5.00,0,0.00
2021-08-03,5,5.00,1.00,5,5.00,0,0.00
2021-08-04,4,4.00,1.00,4,4.00,0,0.00
2021-08-05,6,6.00,1.00,6,6.00,0,0.00
2021-08-06,9,9.00,1.00,9,9.00,0,0.00
2021-08-07,2,2.00,1.00,2,2.00,0,0.00
2021-08-08,2,2.00,1.00,2,2.00,0,0.00
2021-08-09,4,4.00,1.00,4,4.00,0,0.00
2021-08-10,3,3.00,1.00,3,3.00,0,0.00
2021-08-11,3,3.00,1.00,3,3.00,0,0.00
2021-08-12,4,4.00,1.00,4,4.00,0,0.00
2021-08-13,7,5.00,0.81,6,6.00,1,-1.00
2021-08-14,2,2.00,1.00,2,2.00,0,0.00
2021-08-15,2,2.00,1.00,2,2.00,0,0.00
2021-08-16,4,4.00,1.00,4,4.00,0,0.00
2021-08-17,5,3.00,0.63,4,4.00,1,-1.00
2021-08-18,3,3.00,1.00,3,3.00,0,0.00
2021-08-19,4,2.00,0.58,3,3.00,1,-1.00
2021-08-20,3,3.00,1.00,3,3.00,0,0.00
2021-08-21,3,3.00,1.00,3,3.00,0,0.00
2021-08-22,2,2.00,1.00,2,2.00,0,0.00
2021-08-23,2,2.00,1.00,2,2.00,0,0.00
2021-08-24,4,4.00,1.00,4,4.00,0,0.00
2021-08-25,3,3.00,1.00,3,3.00,0,0.00
2021-08-26,8,6.00,0.74,7,7.00,1,-1.00
2021-08-27,6,4.00,0.70,5,5.00,1,-1.00
2021-08-28,3,3.00,1.00,3,3.00,0,0.00
2021-08-29,17,15.00,0.90,16,16.00,1,-1.00
2021-08-30,8,6.00,0.79,7,7.00,1,-1.00
2021-08-31,16,8.00,0.68,12,12.00,4,-4.00
2021-09-01,11,9.00,0.94,10,10.00,1,-1.00
2021-09-02,7,7.00,1.00,7,7.00,0,0.00
2021-09-03,11,11.00,1.00,11,11.00,0,0.00
2021-09-04,4,4.00,1.00,4,4.00,0,0.00
2021-09-05,2,2.00,1.00,2,2.00,0,0.00
2021-09-06,2,2.00,1.00,2,2.00,0,0.00
2021-09-07,8,8.00,1.00,8,8.00,0,0.00
2021-09-08,14,14.00,1.00,14,14.00,0,0.00
2021-09-09,12,12.00,1.00,12,12.00,0,0.00
2021-09-10,6,4.00,0.54,5,5.00,1,-1.00
2021-09-11,3,3.00,1.00,3,3.00,0,0.00
2021-09-12,2,2.00,1.00,2,2.00,0,0.00
2021-09-13,5,5.00,1.00,5,5.00,0,0.00
2021-09-14,4,4.00,1.00,4,4.00,0,0.00
2021-09-15,4,4.00,1.00,4,4.00,0,0.00
2021-09-16,6,6.00,1.00,6,6.00,0,0.00
2021-09-17,9,7.00,0.86,8,8.00,1,-1.00
2021-09-18,1,1.00,1.00,1,1.00,0,0.00
2021-09-21,3,3.00,1.00,3,3.00,0,0.00
2021-09-22,2,2.00,1.00,2,2.00,0,0.00
2021-09-23,8,6.00,0.78,7,7.00,1,-1.00
2021-09-24,3,1.00,0.33,2,2.00,1,-1.00
2021-09-25,2,2.00,1.00,2,2.00,0,0.00
2021-09-26,2,2.00,1.00,2,2.00,0,0.00
2021-09-27,4,2.00,0.82,3,3.00,1,-1.00
2021-09-28,8,8.00,1.00,8,8.00,0,0.00
2021-09-29,5,5.00,1.00,5,5.00,0,0.00
2021-09-30,7,7.00,1.00,7,7.00,0,0.00
2021-10-01,2,2.00,1.00,2,2.00,0,0.00
2021-10-07,3,3.00,1.00,3,3.00,0,0.00
2021-10-08,2,2.00,1.00,2,2.00,0,0.00
2021-10-09,1,1.00,1.00,1,1.00,0,0.00
2021-10-10,1,1.00,1.00,1,1.00,0,0.00
2021-10-12,2,2.00,1.00,2,2.00,0,0.00
2021-10-13,4,4.00,1.00,4,4.00,0,0.00
2021-10-14,11,9.00,0.88,10,10.00,1,-1.00
2021-10-15,46,34.00,0.81,40,40.00,6,-6.00
2021-10-16,28,18.00,0.73,23,23.00,5,-5.00
2021-10-17,8,6.00,0.77,7,7.00,1,-1.00
2021-10-18,13,11.00,0.71,12,12.00,1,-1.00
2021-10-19,6,4.00,0.56,5,5.00,1,-1.00
2021-10-20,27,17.00,0.67,22,22.00,5,-5.00
2021-10-21,37,31.00,0.76,34,34.00,3,-3.00
2021-10-22,34,20.00,0.52,27,27.00,7,-7.00
2021-10-23,7,7.00,1.00,7,7.00,0,0.00
2021-10-24,7,5.00,0.78,6,6.00,1,-1.00
2021-10-25,16,16.00,1.00,16,16.00,0,0.00
2021-10-26,15,13.00,0.89,14,14.00,1,-1.00
2021-10-27,13,9.00,0.74,11,11.00,2,-2.00
2021-10-28,27,25.00,0.93,26,26.00,1,-1.00
2021-10-29,31,21.00,0.80,26,26.00,5,-5.00
2021-10-30,5,5.00,1.00,5,5.00,0,0.00
2021-10-31,1,1.00,1.00,1,1.00,0,0.00
2021-11-01,24,20.00,0.87,22,22.00,2,-2.00
2021-11-02,23,17.00,0.75,20,20.00,3,-3.00
2021-11-03,11,7.00,0.67,9,9.00,2,-2.00
2021-11-04,9,7.00,0.74,8,8.00,1,-1.00
2021-11-05,9,9.00,1.00,9,9.00,0,0.00
2021-11-06,4,4.00,1.00,4,4.00,0,0.00
2021-11-07,2,2.00,1.00,2,2.00,0,0.00
2021-11-08,6,0.00,0.03,3,3.00,3,-3.00
2021-11-09,11,9.00,0.87,10,10.00,1,-1.00
2021-11-10,8,4.00,0.59,6,6.00,2,-2.00
2021-11-11,8,8.00,1.00,8,8.00,0,0.00
2021-11-12,5,3.00,0.65,4,4.00,1,-1.00
2021-11-13,5,5.00,1.00,5,5.00,0,0.00
2021-11-14,4,4.00,1.00,4,4.00,0,0.00
2021-11-15,7,5.00,0.81,6,6.00,1,-1.00
2021-11-16,4,4.00,1.00,4,4.00,0,0.00
2021-11-17,11,11.00,1.00,11,11.00,0,0.00
2021-11-18,8,8.00,1.00,8,8.00,0,0.00
2021-11-19,48,46.00,0.93,47,47.00,1,-1.00
2021-11-20,10,8.00,0.85,9,9.00,1,-1.00
2021-11-21,6,6.00,1.00,6,6.00,0,0.00
2021-11-22,23,15.00,0.77,19,19.00,4,-4.00
2021-11-23,31,23.00,0.82,27,27.00,4,-4.00
2021-11-24,11,7.00,0.67,9,9.00,2,-2.00
2021-11-25,4,4.00,1.00,4,4.00,0,0.00
2021-11-26,3,3.00,1.00,3,3.00,0,0.00
2021-11-27,3,3.00,1.00,3,3.00,0,0.00
2021-11-28,4,0.00,-0.22,2,2.00,2,-2.00
2021-11-29,4,2.00,0.79,3,3.00,1,-1.00
2021-11-30,8,8.00,1.00,8,8.00,0,0.00
2021-12-01,9,7.00,0.75,8,8.00,1,-1.00
2021-12-02,4,4.00,1.00,4,4.00,0,0.00
2021-12-03,10,6.00,0.71,8,8.00,2,-2.00
2021-12-04,4,4.00,1.00,4,4.00,0,0.00
2021-12-05,4,4.00,1.00,4,4.00,0,0.00
2021-12-06,9,9.00,1.00,9,9.00,0,0.00
2021-12-07,6,6.00,1.00,6,6.00,0,0.00
2021-12-08,4,4.00,1.00,4,4.00,0,0.00
2021-12-09,2,2.00,1.00,2,2.00,0,0.00
2021-12-10,9,7.00,0.83,8,8.00,1,-1.00
2021-12-11,2,2.00,1.00,2,2.00,0,0.00
2021-12-12,1,1.00,1.00,1,1.00,0,0.00
2021-12-13,5,5.00,1.00,5,5.00,0,0.00
2021-12-14,3,3.00,1.00,3,3.00,0,0.00
2021-12-15,10,10.00,1.00,10,10.00,0,0.00
2021-12-16,6,6.00,1.00,6,6.00,0,0.00
2021-12-17,6,6.00,1.00,6,6.00,0,0.00
2021-12-18,8,8.00,1.00,8,8.00,0,0.00
2021-12-19,2,2.00,1.00,2,2.00,0,0.00
2021-12-20,21,19.00,0.94,20,20.00,1,-1.00
2021-12-21,8,6.00,0.84,7,7.00,1,-1.00
2021-12-22,38,34.00,0.92,36,36.00,2,-2.00
2021-12-23,14,10.00,0.68,12,12.00,2,-2.00
2021-12-24,12,10.00,0.88,11,11.00,1,-1.00
2021-12-26,3,3.00,1.00,3,3.00,0,0.00
2021-12-27,3,1.00,0.41,2,2.00,1,-1.00
2021-12-28,14,12.00,0.86,13,13.00,1,-1.00
2021-12-29,9,9.00,1.00,9,9.00,0,0.00
2021-12-30,6,6.00,1.00,6,6.00,0,0.00
2021-12-31,10,10.00,1.00,10,10.00,0,0.00
2022-01-01,5,5.00,1.00,5,5.00,0,0.00
2022-01-02,1,1.00,1.00,1,1.00,0,0.00
2022-01-03,2,2.00,1.00,2,2.00,0,0.00
2022-01-04,6,6.00,1.00,6,6.00,0,0.00
2022-01-05,6,6.00,1.00,6,6.00,0,0.00
2022-01-06,5,5.00,1.00,5,5.00,0,0.00
2022-01-07,2,2.00,1.00,2,2.00,0,0.00
2022-01-08,2,2.00,1.00,2,2.00,0,0.00
2022-01-09,2,2.00,1.00,2,2.00,0,0.00
2022-01-10,4,4.00,1.00,4,4.00,0,0.00
2022-01-11,8,8.00,1.00,8,8.00,0,0.00
2022-01-12,13,11.00,0.92,12,12.00,1,-1.00
2022-01-13,6,6.00,1.00,6,6.00,0,0.00
2022-01-14,5,5.00,1.00,5,5.00,0,0.00
2022-01-15,2,2.00,1.00,2,2.00,0,0.00
2022-01-16,2,2.00,1.00,2,2.00,0,0.00
2022-01-17,5,3.00,0.61,4,4.00,1,-1.00
2022-01-18,7,5.00,0.38,6,6.00,1,-1.00
2022-01-19,5,5.00,1.00,5,5.00,0,0.00
2022-01-20,11,11.00,1.00,11,11.00,0,0.00
2022-01-21,3,3.00,1.00,3,3.00,0,0.00
2022-01-22,2,2.00,1.00,2,2.00,0,0.00
2022-01-23,2,2.00,1.00,2,2.00,0,0.00
2022-01-24,3,1.00,0.28,2,2.00,1,-1.00
2022-01-25,5,5.00,1.00,5,5.00,0,0.00
2022-01-26,3,3.00,1.00,3,3.00,0,0.00
2022-01-27,17,15.00,0.90,16,16.00,1,-1.00
2022-01-28,11,9.00,0.82,10,10.00,1,-1.00
2022-01-29,2,2.00,1.00,2,2.00,0,0.00
2022-01-30,2,2.00,1.00,2,2.00,0,0.00
2022-02-02,1,1.00,1.00,1,1.00,0,0.00
2022-02-04,1,1.00,1.00,1,1.00,0,0.00
2022-02-05,2,2.00,1.00,2,2.00,0,0.00
2022-02-06,1,1.00,1.00,1,1.00,0,0.00
2022-02-07,20,20.00,1.00,20,20.00,0,0.00
2022-02-08,19,17.00,0.91,18,18.00,1,-1.00
2022-02-09,12,12.00,1.00,12,12.00,0,0.00
2022-02-10,4,4.00,1.00,4,4.00,0,0.00
2022-02-11,10,8.00,0.82,9,9.00,1,-1.00
2022-02-12,3,3.00,1.00,3,3.00,0,0.00
2022-02-13,2,2.00,1.00,2,2.00,0,0.00
2022-02-14,9,9.00,1.00,9,9.00,0,0.00
2022-02-15,7,5.00,0.68,6,6.00,1,-1.00
2022-02-16,8,8.00,1.00,8,8.00,0,0.00
2022-02-17,8,8.00,1.00,8,8.00,0,0.00
2022-02-18,6,4.00,0.58,5,5.00,1,-1.00
2022-02-19,2,2.00,1.00,2,2.00,0,0.00
2022-02-20,6,4.00,0.62,5,5.00,1,-1.00
2022-02-21,4,4.00,1.00,4,4.00,0,0.00
2022-02-22,5,3.00,0.53,4,4.00,1,-1.00
2022-02-23,8,8.00,1.00,8,8.00,0,0.00
2022-02-24,5,5.00,1.00,5,5.00,0,0.00
2022-02-25,4,4.00,1.00,4,4.00,0,0.00
2022-02-26,2,2.00,1.00,2,2.00,0,0.00
2022-02-27,2,2.00,1.00,2,2.00,0,0.00
2022-03-01,5,5.00,1.00,5,5.00,0,0.00
2022-03-02,3,3.00,1.00,3,3.00,0,0.00
2022-03-03,5,5.00,1.00,5,5.00,0,0.00
2022-03-04,4,4.00,1.00,4,4.00,0,0.00
2022-03-05,2,2.00,1.00,2,2.00,0,0.00
2022-03-06,6,6.00,1.00,6,6.00,0,0.00
2022-03-07,4,4.00,1.00,4,4.00,0,0.00
2022-03-08,3,3.00,1.00,3,3.00,0,0.00
2022-03-09,3,3.00,1.00,3,3.00,0,0.00
2022-03-10,7,3.00,0.27,5,5.00,2,-2.00
2022-03-11,2,2.00,1.00,2,2.00,0,0.00
2022-03-12,4,4.00,1.00,4,4.00,0,0.00
2022-03-13,4,2.00,0.33,3,3.00,1,-1.00
2022-03-15,4,2.00,0.17,3,3.00,1,-1.00
2022-03-16,6,6.00,1.00,6,6.00,0,0.00
2022-03-17,2,2.00,1.00,2,2.00,0,0.00
2022-03-18,5,5.00,1.00,5,5.00,0,0.00
2022-03-19,2,2.00,1.00,2,2.00,0,0.00
2022-03-20,2,2.00,1.00,2,2.00,0,0.00
2022-03-22,6,6.00,1.00,6,6.00,0,0.00
2022-03-23,2,2.00,1.00,2,2.00,0,0.00
2022-03-24,3,3.00,1.00,3,3.00,0,0.00
2022-03-25,3,3.00,1.00,3,3.00,0,0.00
2022-03-26,2,2.00,1.00,2,2.00,0,0.00
2022-03-27,2,2.00,1.00,2,2.00,0,0.00
2022-03-28,30,30.00,1.00,30,30.00,0,0.00
2022-03-29,11,11.00,1.00,11,11.00,0,0.00
2022-03-30,8,8.00,1.00,8,8.00,0,0.00
2022-03-31,4,4.00,1.00,4,4.00,0,0.00
2022-04-01,4,4.00,1.00,4,4.00,0,0.00
2022-04-02,3,3.00,1.00,3,3.00,0,0.00
2022-04-05,3,3.00,1.00,3,3.00,0,0.00
2022-04-06,1,1.00,1.00,1,1.00,0,0.00
2022-04-07,5,5.00,1.00,5,5.00,0,0.00
2022-04-08,2,2.00,1.00,2,2.00,0,0.00
2022-04-09,4,4.00,1.00,4,4.00,0,0.00
2022-04-10,3,3.00,1.00,3,3.00,0,0.00
2022-04-11,2,2.00,1.00,2,2.00,0,0.00
2022-04-12,3,3.00,1.00,3,3.00,0,0.00
2022-04-13,3,3.00,1.00,3,3.00,0,0.00
2022-04-14,7,5.00,0.63,6,6.00,1,-1.00
2022-04-15,3,3.00,1.00,3,3.00,0,0.00
2022-04-16,1,1.00,1.00,1,1.00,0,0.00
2022-04-17,1,1.00,1.00,1,1.00,0,0.00
2022-04-18,1,1.00,1.00,1,1.00,0,0.00
2022-04-19,1,1.00,1.00,1,1.00,0,0.00
2022-04-20,6,6.00,1.00,6,6.00,0,0.00
2022-04-21,6,4.00,0.63,5,5.00,1,-1.00
2022-04-22,9,9.00,1.00,9,9.00,0,0.00
2022-04-23,1,1.00,1.00,1,1.00,0,0.00
2022-04-24,2,2.00,1.00,2,2.00,0,0.00
2022-04-25,1,1.00,1.00,1,1.00,0,0.00
2022-04-26,3,3.00,1.00,3,3.00,0,0.00
2022-04-27,3,3.00,1.00,3,3.00,0,0.00
2022-04-28,2,2.00,1.00,2,2.00,0,0.00
2022-04-29,7,7.00,1.00,7,7.00,0,0.00
2022-04-30,4,4.00,1.00,4,4.00,0,0.00
2022-05-04,3,3.00,1.00,3,3.00,0,0.00
2022-05-05,1,1.00,1.00,1,1.00,0,0.00
2022-05-06,2,2.00,1.00,2,2.00,0,0.00
2022-05-07,1,1.00,1.00,1,1.00,0,0.00
2022-05-09,1,1.00,1.00,1,1.00,0,0.00
2022-05-10,2,0.00,-0.40,1,1.00,1,-1.00
2022-05-11,6,4.00,0.66,5,5.00,1,-1.00
2022-05-12,12,12.00,1.00,12,12.00,0,0.00
2022-05-13,16,16.00,1.00,16,16.00,0,0.00
2022-05-14,2,2.00,1.00,2,2.00,0,0.00
2022-05-15,2,2.00,1.00,2,2.00,0,0.00
2022-05-16,2,2.00,1.00,2,2.00,0,0.00
2022-05-17,4,4.00,1.00,4,4.00,0,0.00
2022-05-18,3,3.00,1.00,3,3.00,0,0.00
2022-05-19,3,3.00,1.00,3,3.00,0,0.00
2022-05-20,7,7.00,1.00,7,7.00,0,0.00
2022-05-21,2,2.00,1.00,2,2.00,0,0.00
2022-05-22,4,4.00,1.00,4,4.00,0,0.00
2022-05-23,1,1.00,1.00,1,1.00,0,0.00
