time,all_num_维科技术,all_dic_score,维科技术舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-01-11,11,3.00,0.28,7,7.00,4,-4.00
2022-01-12,16,0.00,0.19,8,8.00,8,-8.00
2022-01-13,6,0.00,-0.04,3,3.00,3,-3.00
2022-01-14,7,3.00,0.48,5,5.00,2,-2.00
2022-01-15,2,0.00,-0.05,1,1.00,1,-1.00
2022-01-16,2,2.00,1.00,2,2.00,0,0.00
2022-01-17,10,6.00,0.59,8,8.00,2,-2.00
2022-01-18,27,9.00,0.45,18,18.00,9,-9.00
2022-01-19,22,18.00,0.83,20,20.00,2,-2.00
2022-01-20,41,21.00,0.57,31,31.00,10,-10.00
2022-01-21,26,6.00,0.26,16,16.00,10,-10.00
2022-01-22,4,2.00,0.57,3,3.00,1,-1.00
2022-01-23,7,3.00,0.39,5,5.00,2,-2.00
2022-01-24,82,34.00,0.49,58,58.00,24,-24.00
2022-01-25,29,17.00,0.66,23,23.00,6,-6.00
2022-01-26,21,5.00,0.26,13,13.00,8,-8.00
2022-01-27,10,6.00,0.48,8,8.00,2,-2.00
2022-01-28,9,-1.00,0.20,4,4.00,5,-5.00
2022-01-29,5,1.00,0.26,3,3.00,2,-2.00
2022-01-30,1,1.00,1.00,1,1.00,0,0.00
2022-01-31,2,2.00,1.00,2,2.00,0,0.00
2022-02-02,1,1.00,1.00,1,1.00,0,0.00
2022-02-04,3,3.00,1.00,3,3.00,0,0.00
2022-02-05,2,2.00,1.00,2,2.00,0,0.00
2022-02-06,2,2.00,1.00,2,2.00,0,0.00
2022-02-07,6,6.00,1.00,6,6.00,0,0.00
2022-02-08,7,5.00,0.80,6,6.00,1,-1.00
2022-02-09,8,4.00,0.49,6,6.00,2,-2.00
2022-02-10,3,1.00,0.30,2,2.00,1,-1.00
2022-02-11,2,2.00,1.00,2,2.00,0,0.00
2022-02-12,2,2.00,1.00,2,2.00,0,0.00
2022-02-13,1,1.00,1.00,1,1.00,0,0.00
2022-02-14,5,1.00,0.19,3,3.00,2,-2.00
2022-02-15,10,10.00,1.00,10,10.00,0,0.00
2022-02-16,4,4.00,1.00,4,4.00,0,0.00
2022-02-17,15,13.00,0.91,14,14.00,1,-1.00
2022-02-18,16,8.00,0.54,12,12.00,4,-4.00
2022-02-19,2,2.00,1.00,2,2.00,0,0.00
2022-02-20,5,3.00,0.64,4,4.00,1,-1.00
2022-02-21,11,7.00,0.65,9,9.00,2,-2.00
2022-02-22,7,3.00,0.54,5,5.00,2,-2.00
2022-02-23,9,9.00,1.00,9,9.00,0,0.00
2022-02-24,10,6.00,0.75,8,8.00,2,-2.00
2022-02-25,12,10.00,0.86,11,11.00,1,-1.00
2022-02-26,4,4.00,1.00,4,4.00,0,0.00
2022-02-27,1,-1.00,-1.00,0,0.00,1,-1.00
2022-02-28,47,25.00,0.54,36,36.00,11,-11.00
2022-03-01,26,12.00,0.50,19,19.00,7,-7.00
2022-03-02,7,7.00,1.00,7,7.00,0,0.00
2022-03-03,9,7.00,0.83,8,8.00,1,-1.00
2022-03-04,10,6.00,0.62,8,8.00,2,-2.00
2022-03-05,1,1.00,1.00,1,1.00,0,0.00
2022-03-06,2,0.00,-0.07,1,1.00,1,-1.00
2022-03-07,12,8.00,0.65,10,10.00,2,-2.00
2022-03-08,11,7.00,0.64,9,9.00,2,-2.00
2022-03-09,10,8.00,0.82,9,9.00,1,-1.00
2022-03-10,3,3.00,1.00,3,3.00,0,0.00
2022-03-11,9,7.00,0.86,8,8.00,1,-1.00
2022-03-12,7,1.00,0.10,4,4.00,3,-3.00
2022-03-13,1,1.00,1.00,1,1.00,0,0.00
2022-03-14,3,3.00,1.00,3,3.00,0,0.00
2022-03-15,7,1.00,0.33,4,4.00,3,-3.00
2022-03-16,7,1.00,-0.16,4,4.00,3,-3.00
2022-03-17,13,-5.00,-0.27,4,4.00,9,-9.00
2022-03-18,5,3.00,0.70,4,4.00,1,-1.00
2022-03-20,1,-1.00,-1.00,0,0.00,1,-1.00
2022-03-21,5,3.00,0.58,4,4.00,1,-1.00
2022-03-22,4,4.00,1.00,4,4.00,0,0.00
2022-03-23,79,39.00,0.60,59,59.00,20,-20.00
2022-03-24,46,32.00,0.66,39,39.00,7,-7.00
2022-03-25,22,18.00,0.85,20,20.00,2,-2.00
2022-03-26,4,4.00,1.00,4,4.00,0,0.00
2022-03-27,2,0.00,-0.18,1,1.00,1,-1.00
2022-03-28,6,2.00,0.39,4,4.00,2,-2.00
2022-03-29,18,6.00,0.33,12,12.00,6,-6.00
2022-03-30,12,2.00,0.26,7,7.00,5,-5.00
2022-03-31,10,4.00,0.48,7,7.00,3,-3.00
2022-04-01,11,1.00,0.14,6,6.00,5,-5.00
2022-04-02,1,-1.00,-1.00,0,0.00,1,-1.00
2022-04-05,2,2.00,1.00,2,2.00,0,0.00
2022-04-06,3,3.00,1.00,3,3.00,0,0.00
2022-04-07,12,4.00,0.16,8,8.00,4,-4.00
2022-04-08,9,3.00,0.38,6,6.00,3,-3.00
2022-04-09,1,1.00,1.00,1,1.00,0,0.00
2022-04-10,2,2.00,1.00,2,2.00,0,0.00
2022-04-11,10,0.00,0.60,5,5.00,5,-5.00
2022-04-12,11,7.00,0.61,9,9.00,2,-2.00
2022-04-13,7,3.00,0.45,5,5.00,2,-2.00
2022-04-14,7,-3.00,-0.44,2,2.00,5,-5.00
2022-04-15,27,19.00,0.66,23,23.00,4,-4.00
2022-04-18,4,4.00,1.00,4,4.00,0,0.00
2022-04-19,2,2.00,1.00,2,2.00,0,0.00
2022-04-20,10,2.00,0.40,6,6.00,4,-4.00
2022-04-21,21,15.00,0.68,18,18.00,3,-3.00
2022-04-22,13,3.00,0.43,8,8.00,5,-5.00
2022-04-23,1,1.00,1.00,1,1.00,0,0.00
2022-04-25,51,45.00,0.85,48,48.00,3,-3.00
2022-04-26,22,16.00,0.76,19,19.00,3,-3.00
2022-04-27,21,13.00,0.54,17,17.00,4,-4.00
2022-04-28,41,21.00,0.49,31,31.00,10,-10.00
2022-04-29,16,12.00,0.76,14,14.00,2,-2.00
2022-04-30,1,1.00,1.00,1,1.00,0,0.00
2022-05-01,3,1.00,0.45,2,2.00,1,-1.00
2022-05-03,2,2.00,1.00,2,2.00,0,0.00
2022-05-05,4,2.00,0.60,3,3.00,1,-1.00
2022-05-06,6,6.00,1.00,6,6.00,0,0.00
2022-05-07,2,0.00,0.06,1,1.00,1,-1.00
2022-05-09,23,11.00,0.57,17,17.00,6,-6.00
2022-05-10,52,20.00,0.36,36,36.00,16,-16.00
2022-05-11,34,16.00,0.43,25,25.00,9,-9.00
2022-05-12,7,3.00,0.51,5,5.00,2,-2.00
2022-05-13,6,2.00,0.34,4,4.00,2,-2.00
2022-05-15,2,2.00,1.00,2,2.00,0,0.00
2022-05-16,14,6.00,0.17,10,10.00,4,-4.00
2022-05-17,7,5.00,0.63,6,6.00,1,-1.00
2022-05-18,5,5.00,1.00,5,5.00,0,0.00
2022-05-19,2,2.00,1.00,2,2.00,0,0.00
2022-05-20,3,-1.00,-0.37,1,1.00,2,-2.00
2022-05-21,1,1.00,1.00,1,1.00,0,0.00
2022-05-23,19,11.00,0.50,15,15.00,4,-4.00
2022-05-24,7,7.00,1.00,7,7.00,0,0.00
2022-05-25,9,7.00,0.86,8,8.00,1,-1.00
2022-05-26,2,0.00,-0.21,1,1.00,1,-1.00
2022-05-27,7,5.00,0.81,6,6.00,1,-1.00
2022-05-30,4,2.00,0.36,3,3.00,1,-1.00
2022-05-31,4,4.00,1.00,4,4.00,0,0.00
2022-06-01,7,5.00,0.82,6,6.00,1,-1.00
2022-06-02,3,1.00,0.39,2,2.00,1,-1.00
2022-06-03,1,1.00,1.00,1,1.00,0,0.00
2022-06-04,3,1.00,0.08,2,2.00,1,-1.00
2022-06-05,1,1.00,1.00,1,1.00,0,0.00
2022-06-06,3,-3.00,-1.00,0,0.00,3,-3.00
2022-06-07,7,7.00,1.00,7,7.00,0,0.00
2022-06-08,7,3.00,0.29,5,5.00,2,-2.00
2022-06-09,11,9.00,0.87,10,10.00,1,-1.00
2022-06-10,4,4.00,1.00,4,4.00,0,0.00
2022-06-11,1,1.00,1.00,1,1.00,0,0.00
2022-06-13,17,15.00,0.89,16,16.00,1,-1.00
2022-06-14,8,6.00,0.87,7,7.00,1,-1.00
2022-06-15,12,0.00,0.14,6,6.00,6,-6.00
2022-06-16,7,1.00,0.11,4,4.00,3,-3.00
2022-06-17,7,7.00,1.00,7,7.00,0,0.00
2022-06-18,3,3.00,1.00,3,3.00,0,0.00
2022-06-19,3,3.00,1.00,3,3.00,0,0.00
2022-06-20,20,16.00,0.74,18,18.00,2,-2.00
2022-06-21,5,1.00,0.09,3,3.00,2,-2.00
2022-06-22,5,1.00,0.12,3,3.00,2,-2.00
2022-06-23,13,9.00,0.70,11,11.00,2,-2.00
2022-06-24,7,7.00,1.00,7,7.00,0,0.00
2022-06-25,1,1.00,1.00,1,1.00,0,0.00
2022-06-26,1,1.00,1.00,1,1.00,0,0.00
2022-06-27,10,4.00,0.51,7,7.00,3,-3.00
2022-06-28,4,2.00,0.68,3,3.00,1,-1.00
2022-06-29,6,6.00,1.00,6,6.00,0,0.00
2022-06-30,4,0.00,-0.28,2,2.00,2,-2.00
