time,all_num_中国海诚,all_dic_score,中国海诚舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-03-12,1,1.00,1.00,1,1.00,0,0.00
2021-03-15,3,1.00,0.62,2,2.00,1,-1.00
2021-03-16,9,5.00,0.67,7,7.00,2,-2.00
2021-03-17,6,2.00,0.31,4,4.00,2,-2.00
2021-03-18,1,1.00,1.00,1,1.00,0,0.00
2021-03-19,1,1.00,1.00,1,1.00,0,0.00
2021-03-22,2,2.00,1.00,2,2.00,0,0.00
2021-03-23,2,-2.00,-1.00,0,0.00,2,-2.00
2021-03-26,2,2.00,1.00,2,2.00,0,0.00
2021-03-29,1,-1.00,-1.00,0,0.00,1,-1.00
2021-03-30,1,1.00,1.00,1,1.00,0,0.00
2021-03-31,14,0.00,0.32,7,7.00,7,-7.00
2021-04-01,6,2.00,0.44,4,4.00,2,-2.00
2021-04-02,2,-2.00,-1.00,0,0.00,2,-2.00
2021-04-03,1,1.00,1.00,1,1.00,0,0.00
2021-04-05,3,1.00,0.37,2,2.00,1,-1.00
2021-04-06,3,1.00,0.53,2,2.00,1,-1.00
2021-04-07,1,-1.00,-1.00,0,0.00,1,-1.00
2021-04-08,23,23.00,1.00,23,23.00,0,0.00
2021-04-09,2,0.00,0.19,1,1.00,1,-1.00
2021-04-13,1,-1.00,-1.00,0,0.00,1,-1.00
2021-04-14,5,5.00,1.00,5,5.00,0,0.00
2021-04-15,1,1.00,1.00,1,1.00,0,0.00
2021-04-19,4,0.00,0.33,2,2.00,2,-2.00
2021-04-21,1,1.00,1.00,1,1.00,0,0.00
2021-04-22,3,1.00,0.80,2,2.00,1,-1.00
2021-04-23,4,2.00,0.62,3,3.00,1,-1.00
2021-04-25,8,8.00,1.00,8,8.00,0,0.00
2021-04-26,4,2.00,0.65,3,3.00,1,-1.00
2021-04-27,5,3.00,0.72,4,4.00,1,-1.00
2021-04-28,6,2.00,0.76,4,4.00,2,-2.00
2021-04-29,3,3.00,1.00,3,3.00,0,0.00
2021-04-30,2,0.00,0.02,1,1.00,1,-1.00
2021-05-02,1,-1.00,-1.00,0,0.00,1,-1.00
2021-05-05,2,2.00,1.00,2,2.00,0,0.00
2021-05-10,4,2.00,0.40,3,3.00,1,-1.00
2021-05-12,3,-1.00,-0.57,1,1.00,2,-2.00
2021-05-14,3,-1.00,-0.28,1,1.00,2,-2.00
2021-05-15,1,-1.00,-1.00,0,0.00,1,-1.00
2021-05-17,1,1.00,1.00,1,1.00,0,0.00
2021-05-18,1,1.00,1.00,1,1.00,0,0.00
2021-05-19,6,0.00,-0.16,3,3.00,3,-3.00
2021-05-20,1,1.00,1.00,1,1.00,0,0.00
2021-05-21,2,2.00,1.00,2,2.00,0,0.00
2021-05-24,3,-1.00,-0.06,1,1.00,2,-2.00
2021-05-25,1,-1.00,-1.00,0,0.00,1,-1.00
2021-05-27,3,3.00,1.00,3,3.00,0,0.00
2021-05-31,1,-1.00,-1.00,0,0.00,1,-1.00
2021-06-01,1,1.00,1.00,1,1.00,0,0.00
2021-06-03,4,0.00,0.24,2,2.00,2,-2.00
2021-06-04,1,-1.00,-1.00,0,0.00,1,-1.00
2021-06-05,1,-1.00,-1.00,0,0.00,1,-1.00
2021-06-07,4,2.00,0.60,3,3.00,1,-1.00
2021-06-08,4,0.00,-0.06,2,2.00,2,-2.00
2021-06-10,3,1.00,0.36,2,2.00,1,-1.00
2021-06-11,2,-2.00,-1.00,0,0.00,2,-2.00
2021-06-12,1,-1.00,-1.00,0,0.00,1,-1.00
2021-06-13,1,1.00,1.00,1,1.00,0,0.00
2021-06-15,3,3.00,1.00,3,3.00,0,0.00
2021-06-16,4,2.00,0.48,3,3.00,1,-1.00
2021-06-17,1,1.00,1.00,1,1.00,0,0.00
2021-06-18,12,-2.00,0.13,5,5.00,7,-7.00
2021-06-21,2,0.00,-0.21,1,1.00,1,-1.00
2021-06-22,2,0.00,-0.24,1,1.00,1,-1.00
2021-06-23,11,-5.00,-0.48,3,3.00,8,-8.00
2021-06-24,5,1.00,0.50,3,3.00,2,-2.00
2021-06-25,3,1.00,0.36,2,2.00,1,-1.00
2021-06-28,15,1.00,0.16,8,8.00,7,-7.00
2021-06-29,7,1.00,0.37,4,4.00,3,-3.00
2021-06-30,4,2.00,0.69,3,3.00,1,-1.00
2021-07-01,4,2.00,0.82,3,3.00,1,-1.00
2021-07-02,4,0.00,0.13,2,2.00,2,-2.00
2021-07-05,2,-2.00,-1.00,0,0.00,2,-2.00
2021-07-06,3,3.00,1.00,3,3.00,0,0.00
2021-07-07,5,5.00,1.00,5,5.00,0,0.00
2021-07-08,2,2.00,1.00,2,2.00,0,0.00
2021-07-09,1,1.00,1.00,1,1.00,0,0.00
2021-07-13,5,-1.00,0.37,2,2.00,3,-3.00
2021-07-14,1,1.00,1.00,1,1.00,0,0.00
2021-07-15,3,-3.00,-1.00,0,0.00,3,-3.00
2021-07-16,1,1.00,1.00,1,1.00,0,0.00
2021-07-18,1,-1.00,-1.00,0,0.00,1,-1.00
2021-07-21,2,2.00,1.00,2,2.00,0,0.00
2021-07-22,3,1.00,0.71,2,2.00,1,-1.00
2021-07-23,3,1.00,0.25,2,2.00,1,-1.00
2021-07-26,3,1.00,0.66,2,2.00,1,-1.00
2021-07-28,4,2.00,0.65,3,3.00,1,-1.00
2021-07-29,2,0.00,0.11,1,1.00,1,-1.00
2021-07-30,1,1.00,1.00,1,1.00,0,0.00
2021-08-01,1,1.00,1.00,1,1.00,0,0.00
2021-08-02,4,2.00,0.79,3,3.00,1,-1.00
2021-08-03,1,-1.00,-1.00,0,0.00,1,-1.00
2021-08-04,3,1.00,0.60,2,2.00,1,-1.00
2021-08-05,3,1.00,0.67,2,2.00,1,-1.00
2021-08-06,2,0.00,-0.10,1,1.00,1,-1.00
2021-08-08,2,2.00,1.00,2,2.00,0,0.00
2021-08-09,2,2.00,1.00,2,2.00,0,0.00
2021-08-10,3,1.00,0.80,2,2.00,1,-1.00
2021-08-12,3,3.00,1.00,3,3.00,0,0.00
2021-08-13,4,4.00,1.00,4,4.00,0,0.00
2021-08-16,1,1.00,1.00,1,1.00,0,0.00
2021-08-17,3,-1.00,-0.12,1,1.00,2,-2.00
2021-08-18,3,3.00,1.00,3,3.00,0,0.00
2021-08-19,4,2.00,0.60,3,3.00,1,-1.00
2021-08-24,2,2.00,1.00,2,2.00,0,0.00
2021-08-25,1,1.00,1.00,1,1.00,0,0.00
2021-08-26,30,26.00,0.91,28,28.00,2,-2.00
2021-08-27,8,0.00,0.18,4,4.00,4,-4.00
2021-08-28,4,2.00,0.52,3,3.00,1,-1.00
2021-08-30,5,-1.00,0.09,2,2.00,3,-3.00
2021-08-31,2,0.00,0.41,1,1.00,1,-1.00
2021-09-01,15,3.00,0.22,9,9.00,6,-6.00
2021-09-02,4,0.00,0.05,2,2.00,2,-2.00
2021-09-03,3,3.00,1.00,3,3.00,0,0.00
2021-09-06,7,3.00,0.50,5,5.00,2,-2.00
2021-09-07,6,-2.00,-0.24,2,2.00,4,-4.00
2021-09-08,2,2.00,1.00,2,2.00,0,0.00
2021-09-09,4,0.00,-0.10,2,2.00,2,-2.00
2021-09-10,5,1.00,0.12,3,3.00,2,-2.00
2021-09-11,3,-3.00,-1.00,0,0.00,3,-3.00
2021-09-12,1,-1.00,-1.00,0,0.00,1,-1.00
2021-09-13,1,1.00,1.00,1,1.00,0,0.00
2021-09-14,3,3.00,1.00,3,3.00,0,0.00
2021-09-15,2,2.00,1.00,2,2.00,0,0.00
2021-09-17,4,2.00,0.42,3,3.00,1,-1.00
2021-09-22,7,5.00,0.97,6,6.00,1,-1.00
2021-09-23,4,0.00,-0.03,2,2.00,2,-2.00
2021-09-24,2,0.00,0.43,1,1.00,1,-1.00
2021-09-27,1,1.00,1.00,1,1.00,0,0.00
2021-09-28,5,-3.00,-0.63,1,1.00,4,-4.00
2021-09-29,5,1.00,-0.31,3,3.00,2,-2.00
2021-09-30,8,-6.00,-0.72,1,1.00,7,-7.00
2021-10-01,1,1.00,1.00,1,1.00,0,0.00
2021-10-02,2,-2.00,-1.00,0,0.00,2,-2.00
2021-10-03,1,-1.00,-1.00,0,0.00,1,-1.00
2021-10-05,1,-1.00,-1.00,0,0.00,1,-1.00
2021-10-08,10,8.00,0.84,9,9.00,1,-1.00
2021-10-10,2,0.00,-0.29,1,1.00,1,-1.00
2021-10-11,17,1.00,0.15,9,9.00,8,-8.00
2021-10-12,3,3.00,1.00,3,3.00,0,0.00
2021-10-13,11,5.00,0.54,8,8.00,3,-3.00
2021-10-14,7,-1.00,0.07,3,3.00,4,-4.00
2021-10-15,9,1.00,0.36,5,5.00,4,-4.00
2021-10-17,1,1.00,1.00,1,1.00,0,0.00
2021-10-20,3,1.00,0.29,2,2.00,1,-1.00
2021-10-22,1,-1.00,-1.00,0,0.00,1,-1.00
2021-10-24,1,1.00,1.00,1,1.00,0,0.00
2021-10-26,18,8.00,0.54,13,13.00,5,-5.00
2021-10-27,11,3.00,0.37,7,7.00,4,-4.00
2021-10-28,9,1.00,-0.41,5,5.00,4,-4.00
2021-10-31,1,1.00,1.00,1,1.00,0,0.00
2021-11-01,1,-1.00,-1.00,0,0.00,1,-1.00
2021-11-02,7,3.00,0.42,5,5.00,2,-2.00
2021-11-04,4,0.00,0.10,2,2.00,2,-2.00
2021-11-05,4,0.00,-0.03,2,2.00,2,-2.00
2021-11-08,2,-2.00,-1.00,0,0.00,2,-2.00
2021-11-09,2,0.00,0.25,1,1.00,1,-1.00
2021-11-10,7,7.00,1.00,7,7.00,0,0.00
2021-11-11,4,2.00,0.46,3,3.00,1,-1.00
2021-11-12,2,0.00,0.26,1,1.00,1,-1.00
2021-11-16,7,1.00,0.52,4,4.00,3,-3.00
2021-11-18,2,-2.00,-1.00,0,0.00,2,-2.00
2021-11-19,6,4.00,0.84,5,5.00,1,-1.00
2021-11-20,1,1.00,1.00,1,1.00,0,0.00
2021-11-22,2,0.00,-0.21,1,1.00,1,-1.00
2021-11-23,2,0.00,0.19,1,1.00,1,-1.00
2021-11-24,6,4.00,0.78,5,5.00,1,-1.00
2021-11-25,5,-3.00,-0.50,1,1.00,4,-4.00
2021-11-26,7,5.00,0.67,6,6.00,1,-1.00
2021-11-27,1,-1.00,-1.00,0,0.00,1,-1.00
2021-11-28,3,3.00,1.00,3,3.00,0,0.00
2021-11-29,4,4.00,1.00,4,4.00,0,0.00
2021-11-30,4,4.00,1.00,4,4.00,0,0.00
2021-12-02,4,4.00,1.00,4,4.00,0,0.00
2021-12-03,5,3.00,0.81,4,4.00,1,-1.00
2021-12-06,1,1.00,1.00,1,1.00,0,0.00
2021-12-07,2,0.00,0.07,1,1.00,1,-1.00
2021-12-08,1,-1.00,-1.00,0,0.00,1,-1.00
2021-12-09,5,3.00,0.70,4,4.00,1,-1.00
2021-12-10,6,0.00,0.11,3,3.00,3,-3.00
2021-12-13,9,-1.00,0.16,4,4.00,5,-5.00
2021-12-14,5,5.00,1.00,5,5.00,0,0.00
2021-12-15,18,6.00,0.54,12,12.00,6,-6.00
2021-12-16,13,3.00,0.04,8,8.00,5,-5.00
2021-12-17,12,4.00,0.33,8,8.00,4,-4.00
2021-12-18,1,1.00,1.00,1,1.00,0,0.00
2021-12-19,1,1.00,1.00,1,1.00,0,0.00
2021-12-20,3,1.00,0.21,2,2.00,1,-1.00
2021-12-21,8,4.00,0.68,6,6.00,2,-2.00
2021-12-22,3,1.00,0.36,2,2.00,1,-1.00
2021-12-23,5,1.00,0.31,3,3.00,2,-2.00
2021-12-24,9,-5.00,-0.56,2,2.00,7,-7.00
2021-12-25,1,1.00,1.00,1,1.00,0,0.00
2021-12-26,2,-2.00,-1.00,0,0.00,2,-2.00
2021-12-27,2,2.00,1.00,2,2.00,0,0.00
2021-12-28,3,1.00,0.31,2,2.00,1,-1.00
2021-12-29,2,0.00,-0.03,1,1.00,1,-1.00
2021-12-30,1,1.00,1.00,1,1.00,0,0.00
2021-12-31,3,3.00,1.00,3,3.00,0,0.00
2022-01-01,1,-1.00,-1.00,0,0.00,1,-1.00
2022-01-02,1,1.00,1.00,1,1.00,0,0.00
2022-01-04,1,-1.00,-1.00,0,0.00,1,-1.00
2022-01-06,3,1.00,0.33,2,2.00,1,-1.00
2022-01-07,1,-1.00,-1.00,0,0.00,1,-1.00
2022-01-09,1,-1.00,-1.00,0,0.00,1,-1.00
2022-01-10,11,-1.00,-0.18,5,5.00,6,-6.00
2022-01-11,7,1.00,0.54,4,4.00,3,-3.00
2022-01-12,11,-1.00,-0.09,5,5.00,6,-6.00
2022-01-13,3,1.00,0.24,2,2.00,1,-1.00
2022-01-14,6,-2.00,-0.32,2,2.00,4,-4.00
2022-01-16,1,-1.00,-1.00,0,0.00,1,-1.00
2022-01-17,4,-2.00,-0.49,1,1.00,3,-3.00
2022-01-18,13,9.00,0.83,11,11.00,2,-2.00
2022-01-19,11,5.00,0.52,8,8.00,3,-3.00
2022-01-20,11,3.00,0.56,7,7.00,4,-4.00
2022-01-21,12,6.00,0.62,9,9.00,3,-3.00
2022-01-22,2,2.00,1.00,2,2.00,0,0.00
2022-01-23,2,0.00,-0.02,1,1.00,1,-1.00
2022-01-24,6,-2.00,-0.23,2,2.00,4,-4.00
2022-01-25,8,8.00,1.00,8,8.00,0,0.00
2022-01-26,14,6.00,0.57,10,10.00,4,-4.00
2022-01-27,4,2.00,0.75,3,3.00,1,-1.00
2022-01-28,5,5.00,1.00,5,5.00,0,0.00
2022-01-29,1,1.00,1.00,1,1.00,0,0.00
2022-01-30,1,1.00,1.00,1,1.00,0,0.00
2022-02-01,1,1.00,1.00,1,1.00,0,0.00
2022-02-06,3,3.00,1.00,3,3.00,0,0.00
2022-02-07,21,9.00,0.58,15,15.00,6,-6.00
2022-02-08,32,16.00,0.61,24,24.00,8,-8.00
2022-02-09,52,8.00,0.28,30,30.00,22,-22.00
2022-02-10,186,56.00,0.42,121,121.00,65,-65.00
2022-02-11,157,23.00,0.27,90,90.00,67,-67.00
2022-02-12,38,22.00,0.54,30,30.00,8,-8.00
2022-02-13,24,8.00,0.24,16,16.00,8,-8.00
2022-02-14,124,32.00,0.41,78,78.00,46,-46.00
2022-02-15,178,46.00,0.45,112,112.00,66,-66.00
2022-02-16,165,51.00,0.36,108,108.00,57,-57.00
2022-02-17,229,69.00,0.45,149,149.00,80,-80.00
2022-02-18,142,20.00,0.29,81,81.00,61,-61.00
2022-02-19,17,7.00,0.40,12,12.00,5,-5.00
2022-02-20,16,12.00,0.77,14,14.00,2,-2.00
2022-02-21,99,41.00,0.49,70,70.00,29,-29.00
2022-02-22,118,36.00,0.41,77,77.00,41,-41.00
2022-02-23,219,55.00,0.46,137,137.00,82,-82.00
2022-02-24,116,28.00,0.43,72,72.00,44,-44.00
2022-02-25,115,33.00,0.51,74,74.00,41,-41.00
2022-02-26,13,3.00,0.17,8,8.00,5,-5.00
2022-02-27,11,7.00,0.71,9,9.00,2,-2.00
2022-02-28,76,18.00,0.42,47,47.00,29,-29.00
2022-03-01,30,12.00,0.48,21,21.00,9,-9.00
2022-03-02,45,19.00,0.52,32,32.00,13,-13.00
2022-03-03,46,16.00,0.50,31,31.00,15,-15.00
2022-03-04,24,6.00,0.31,15,15.00,9,-9.00
2022-03-05,3,1.00,0.78,2,2.00,1,-1.00
2022-03-06,6,0.00,0.25,3,3.00,3,-3.00
2022-03-07,17,9.00,0.67,13,13.00,4,-4.00
2022-03-08,23,7.00,0.49,15,15.00,8,-8.00
2022-03-09,23,1.00,0.30,12,12.00,11,-11.00
2022-03-10,41,11.00,0.44,26,26.00,15,-15.00
2022-03-11,31,1.00,0.13,16,16.00,15,-15.00
2022-03-12,6,2.00,0.34,4,4.00,2,-2.00
2022-03-13,5,1.00,0.02,3,3.00,2,-2.00
2022-03-14,22,4.00,0.40,13,13.00,9,-9.00
2022-03-15,67,15.00,0.30,41,41.00,26,-26.00
2022-03-16,46,18.00,0.73,32,32.00,14,-14.00
2022-03-17,71,9.00,0.25,40,40.00,31,-31.00
2022-03-18,64,24.00,0.67,44,44.00,20,-20.00
2022-03-19,10,0.00,-0.11,5,5.00,5,-5.00
2022-03-20,10,8.00,0.84,9,9.00,1,-1.00
2022-03-21,77,43.00,0.63,60,60.00,17,-17.00
2022-03-22,36,16.00,0.63,26,26.00,10,-10.00
2022-03-23,27,17.00,0.78,22,22.00,5,-5.00
2022-03-24,40,6.00,0.24,23,23.00,17,-17.00
2022-03-25,30,18.00,0.68,24,24.00,6,-6.00
2022-03-26,4,0.00,0.49,2,2.00,2,-2.00
2022-03-27,3,-1.00,-0.19,1,1.00,2,-2.00
2022-03-28,10,2.00,0.51,6,6.00,4,-4.00
2022-03-29,22,6.00,0.49,14,14.00,8,-8.00
2022-03-30,54,18.00,0.35,36,36.00,18,-18.00
2022-03-31,53,17.00,0.31,35,35.00,18,-18.00
2022-04-01,25,13.00,0.56,19,19.00,6,-6.00
2022-04-02,4,2.00,0.77,3,3.00,1,-1.00
2022-04-03,5,1.00,0.34,3,3.00,2,-2.00
2022-04-04,2,0.00,0.20,1,1.00,1,-1.00
2022-04-05,4,2.00,0.25,3,3.00,1,-1.00
2022-04-06,20,4.00,0.38,12,12.00,8,-8.00
2022-04-07,20,4.00,0.27,12,12.00,8,-8.00
2022-04-08,27,13.00,0.53,20,20.00,7,-7.00
2022-04-09,5,3.00,0.78,4,4.00,1,-1.00
2022-04-10,6,4.00,0.89,5,5.00,1,-1.00
2022-04-11,18,4.00,0.53,11,11.00,7,-7.00
2022-04-12,66,30.00,0.53,48,48.00,18,-18.00
2022-04-13,49,9.00,-0.01,29,29.00,20,-20.00
2022-04-14,52,4.00,0.25,28,28.00,24,-24.00
2022-04-15,49,-3.00,0.22,23,23.00,26,-26.00
2022-04-16,6,-4.00,-0.55,1,1.00,5,-5.00
2022-04-17,3,3.00,1.00,3,3.00,0,0.00
2022-04-18,36,12.00,0.50,24,24.00,12,-12.00
2022-04-19,13,11.00,0.92,12,12.00,1,-1.00
2022-04-20,13,13.00,1.00,13,13.00,0,0.00
2022-04-21,56,32.00,0.62,44,44.00,12,-12.00
2022-04-22,15,3.00,0.31,9,9.00,6,-6.00
2022-04-23,3,3.00,1.00,3,3.00,0,0.00
2022-04-24,6,0.00,-0.18,3,3.00,3,-3.00
2022-04-25,17,3.00,0.31,10,10.00,7,-7.00
2022-04-26,9,3.00,-0.33,6,6.00,3,-3.00
2022-04-27,63,-3.00,0.15,30,30.00,33,-33.00
2022-04-28,41,11.00,0.46,26,26.00,15,-15.00
2022-04-29,16,12.00,0.81,14,14.00,2,-2.00
2022-04-30,5,3.00,0.74,4,4.00,1,-1.00
2022-05-01,1,1.00,1.00,1,1.00,0,0.00
2022-05-03,2,2.00,1.00,2,2.00,0,0.00
2022-05-04,1,1.00,1.00,1,1.00,0,0.00
2022-05-05,16,2.00,0.58,9,9.00,7,-7.00
2022-05-06,14,0.00,0.03,7,7.00,7,-7.00
2022-05-09,19,3.00,0.27,11,11.00,8,-8.00
2022-05-10,37,21.00,0.61,29,29.00,8,-8.00
2022-05-11,38,16.00,0.50,27,27.00,11,-11.00
2022-05-12,38,12.00,0.40,25,25.00,13,-13.00
2022-05-13,15,5.00,0.45,10,10.00,5,-5.00
2022-05-14,2,0.00,-0.48,1,1.00,1,-1.00
2022-05-15,4,2.00,0.76,3,3.00,1,-1.00
2022-05-16,10,0.00,0.37,5,5.00,5,-5.00
2022-05-17,14,10.00,0.65,12,12.00,2,-2.00
2022-05-18,73,33.00,0.58,53,53.00,20,-20.00
2022-05-19,41,7.00,0.46,24,24.00,17,-17.00
2022-05-20,71,31.00,0.54,51,51.00,20,-20.00
2022-05-21,26,10.00,0.58,18,18.00,8,-8.00
2022-05-22,27,13.00,0.66,20,20.00,7,-7.00
2022-05-23,209,59.00,0.32,134,134.00,75,-75.00
2022-05-24,187,39.00,0.30,113,113.00,74,-74.00
2022-05-25,109,45.00,0.53,77,77.00,32,-32.00
2022-05-26,141,49.00,0.44,95,95.00,46,-46.00
2022-05-27,368,106.00,0.36,237,237.00,131,-131.00
2022-05-28,52,16.00,0.45,34,34.00,18,-18.00
2022-05-29,45,9.00,0.34,27,27.00,18,-18.00
2022-05-30,236,68.00,0.42,152,152.00,84,-84.00
2022-05-31,277,87.00,0.43,182,182.00,95,-95.00
2022-06-01,181,53.00,0.49,117,117.00,64,-64.00
2022-06-02,120,42.00,0.52,81,81.00,39,-39.00
2022-06-03,7,3.00,0.66,5,5.00,2,-2.00
2022-06-04,11,5.00,0.29,8,8.00,3,-3.00
2022-06-05,11,3.00,0.48,7,7.00,4,-4.00
2022-06-06,66,24.00,0.61,45,45.00,21,-21.00
2022-06-07,111,19.00,0.30,65,65.00,46,-46.00
2022-06-08,125,27.00,0.24,76,76.00,49,-49.00
2022-06-09,249,33.00,0.30,141,141.00,108,-108.00
2022-06-10,95,29.00,0.30,62,62.00,33,-33.00
2022-06-11,9,1.00,0.34,5,5.00,4,-4.00
2022-06-12,14,2.00,0.22,8,8.00,6,-6.00
2022-06-13,38,4.00,0.17,21,21.00,17,-17.00
2022-06-14,35,15.00,0.63,25,25.00,10,-10.00
2022-06-15,33,3.00,0.20,18,18.00,15,-15.00
2022-06-16,26,12.00,0.61,19,19.00,7,-7.00
2022-06-17,40,-14.00,-0.49,13,13.00,27,-27.00
2022-06-18,1,1.00,1.00,1,1.00,0,0.00
2022-06-19,4,0.00,0.23,2,2.00,2,-2.00
2022-06-20,25,5.00,0.17,15,15.00,10,-10.00
2022-06-21,45,-1.00,0.02,22,22.00,23,-23.00
2022-06-22,12,2.00,0.31,7,7.00,5,-5.00
2022-06-23,10,0.00,-0.13,5,5.00,5,-5.00
2022-06-24,24,14.00,0.59,19,19.00,5,-5.00
2022-06-25,8,2.00,0.29,5,5.00,3,-3.00
2022-06-26,3,1.00,0.69,2,2.00,1,-1.00
2022-06-27,44,12.00,0.47,28,28.00,16,-16.00
2022-06-28,24,10.00,0.29,17,17.00,7,-7.00
2022-06-29,26,-2.00,-0.04,12,12.00,14,-14.00
2022-06-30,22,0.00,-0.03,11,11.00,11,-11.00
